,year,course_name,section,id,enrollments
1788,2010-2011,UE F : Architecture et réhabilitation,AR,439,22
1789,2010-2011,UE J : Territoire et paysage,AR,471,15
1790,2010-2011,Urban hydraulic systems,CIVIL,413,23
1791,2010-2011,Urbanisme en Asie,AR,456,56
1792,2010-2011,VLSI design I,EE,430,63
1793,2010-2011,VLSI design II,EE,431,16
1794,2010-2011,Ville et mobilité,AR,458,43
1795,2010-2011,Virtual reality,CS,444,32
1796,2010-2011,Water and wastewater treatment,ENV,405,38
1797,2010-2011,Water quality modeling,ENG,400,6
1798,2010-2011,Water resources engineering,ENV,424,52
1799,2010-2011,Wave propagation along transmission lines,EE,575,19
1800,2010-2011,"Wood structures, properties and uses",MSE,466,11
1801,2011-2012,Advanced Fossil and Renewable Energy Systems,ME,442,24
1802,2011-2012,Advanced MEMS & microsystems,MICRO,534,18
1803,2011-2012,Advanced NMR and imaging,CH,401,1
1804,2011-2012,Advanced algorithms,CS,450,69
1805,2011-2012,Advanced analog and RF integrated circuits design I,EE,520,12
1806,2011-2012,Advanced analog and RF integrated circuits design II,EE,521,12
1807,2011-2012,Advanced analysis I,MATH,400,5
1808,2011-2012,Advanced analysis II,MATH,401,3
1809,2011-2012,Advanced bioengineering methods laboratory,BIOENG,444,5
1810,2011-2012,Advanced composites in engineering structures,CIVIL,443,14
1811,2011-2012,Advanced computer architecture,CS,470,39
1812,2011-2012,Advanced computer graphics,CS,440,25
1813,2011-2012,Advanced cryptography,COM,501,3
1814,2011-2012,Advanced derivatives,FIN,503,18
1815,2011-2012,Advanced diffusional separation processes,ChE,402,8
1816,2011-2012,Advanced digital communications,COM,510,12
1817,2011-2012,Advanced energetics,ME,451,43
1818,2011-2012,Advanced materials for photovoltaics and lighting applications,CH,447,1
1819,2011-2012,Advanced methods in computational solid mechanics,CIVIL,523,17
1820,2011-2012,Advanced multiprocessor architecture,CS,471,7
1821,2011-2012,Advanced nanomaterials,MSE,477,31
1822,2011-2012,Advanced optics,MICRO,420,7
1823,2011-2012,Advanced probability,COM,417,17
1824,2011-2012,Advanced semiconductor nanomaterials,MSE,487,21
1825,2011-2012,Advanced signal processing,EE,450,24
1826,2011-2012,Advanced solid waste treatment,ENV,500,19
1827,2011-2012,Advanced topics in financial econometrics,FIN,521,10
1829,2011-2012,Aeroelasticity and fluid-structure interaction,ME,435,23
1830,2011-2012,Algorithms,CS,250,170
1831,2011-2012,Aménagements hydrauliques II,CIVIL,412,25
1832,2011-2012,Analog circuits design I,EE,420,66
1833,2011-2012,Analog circuits design II,EE,421,19
1834,2011-2012,Analyse de produits et systèmes,MICRO,443,3
1835,2011-2012,Analyse de risques,CIVIL,438,55
1836,2011-2012,"Analyse du cycle de vie, écobilan",ENV,370,41
1837,2011-2012,Analyse et management des risques industriels,ENV,508,52
1838,2011-2012,Analyse fonctionnelle II,MATH,404,3
1839,2011-2012,Analysis on groups,MATH,416,3
1840,2011-2012,Applied machine learning,MICRO,455,35
1841,2011-2012,Applied molecular quantum chemistry,CH,451,2
1842,2011-2012,Applied probability & stochastic processes,COM,419,13
1843,2011-2012,Applied probability & stochastic processes,MGT,484,13
1844,2011-2012,Architecture et construction de la ville I,AR,451,62
1845,2011-2012,Architecture et construction de la ville II,AR,452,50
1846,2011-2012,Art et histoire des jardins,AR,453,72
1847,2011-2012,Artificial organs and systems,BIOENG,441,2
1848,2011-2012,Artificial photosynthesis,CH,426,3
1849,2011-2012,Arts visuels et architecture I,AR,419,57
1850,2011-2012,Arts visuels et architecture II,AR,410,61
1851,2011-2012,Assemblage et robotique TP,MICRO,442,22
1852,2011-2012,Assembly techniques,MSE,464,17
1853,2011-2012,Astrophysics III : stellar and galactic dynamics,PHYS,401,5
1854,2011-2012,Astrophysics IV : observational cosmology,PHYS,402,5
1855,2011-2012,Atoms and radiation,CH,360,16
1856,2011-2012,Audio,EE,548,7
1857,2011-2012,Automatic speech processing,EE,554,24
1858,2011-2012,Aérodynamique,ME,445,38
1859,2011-2012,B2B - high-tech marketing,MGT,402,2
1860,2011-2012,Barrages et ouvrages hydrauliques annexes,CIVIL,411,27
1861,2011-2012,Bases de la robotique,MICRO,450,66
1862,2011-2012,Bio-ingénierie des cours d'eau et milieux naturels,ENV,420,37
1863,2011-2012,BioMEMS,MICRO,560,26
1864,2011-2012,Bioanalytics and analytical sensors,CH,402,2
1865,2011-2012,Biomaterials,BIOENG,442,15
1866,2011-2012,Biomechanics of the cardiovascular system,ME,481,10
1867,2011-2012,Biomechanics of the musculoskeletal system,ME,482,17
1868,2011-2012,Biomedical optics,BIOENG,445,2
1869,2011-2012,Biomedical signal processing,EE,512,28
1870,2011-2012,Biometrics,EE,513,29
1872,2011-2012,Biomicroscopy I,MICRO,561,22
1873,2011-2012,Biomicroscopy II,MICRO,562,6
1874,2011-2012,Biomolecular structure and mechanics,BIO,315,5
1875,2011-2012,Biophysics II,PHYS,302,12
1876,2011-2012,Biophysique I,PHYS,301,27
1877,2011-2012,Bioprocesses and downstream processing,ChE,437,3
1878,2011-2012,Brain computer interaction,EE,514,6
1879,2011-2012,Business plan for IT services,CS,490,21
1880,2011-2012,Cancer biology I,BIO,471,11
1881,2011-2012,Cancer biology II,BIO,472,8
1882,2011-2012,Capteurs,MICRO,330,81
1883,2011-2012,Caractères architecturaux et urbanismes de l'Islam,AR,457,67
1884,2011-2012,Catalysis for energy production,CH,421,14
1885,2011-2012,Catalyst design for synthesis,CH,422,10
1886,2011-2012,Catalytic asymmetric reactions in organic chemistry,CH,435,5
1887,2011-2012,Cavitation et phénomènes d'interface,ME,462,16
1888,2011-2012,Cellular biology and biochemistry for engineers,BIO,105,26
1889,2011-2012,Cellular signalling,CH,411,5
1890,2011-2012,Cementitious materials (advanced),MSE,420,14
1891,2011-2012,Chemical biology - tools and methods,BIOENG,447,5
1892,2011-2012,Chemical engineering lab & project,ChE,409,7
1893,2011-2012,Chemical engineering of heterogenous reaction,ChE,403,9
1894,2011-2012,Chemical processes of sustainable and renewable energy,ChE,406,6
1895,2011-2012,Chemistry of food processes,ENG,435,1
1896,2011-2012,Chimie des denrées alimentaires,ENG,433,13
1897,2011-2012,Color reproduction,CS,441,11
1898,2011-2012,Combinatorial optimization,MATH,460,3
1899,2011-2012,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,510,33
1900,2011-2012,Commande non linéaire,ME,523,29
1901,2011-2012,Composants semiconducteurs,MICRO,312,60
1902,2011-2012,Composites polymères + TP,MSE,340,25
1903,2011-2012,Composites technology,MSE,440,24
1904,2011-2012,Computational linear algebra,MATH,453,5
1905,2011-2012,Computational methods in molecular quantum mechanics,CH,452,5
1906,2011-2012,Computational molecular biology,CS,551,8
1907,2011-2012,Computational physics III,PHYS,332,37
1908,2011-2012,Computer simulation of physical systems I,PHYS,403,10
1909,2011-2012,Computer simulation of physical systems II,PHYS,404,2
1910,2011-2012,Computer vision,CS,442,59
1911,2011-2012,Computer-aided engineering,ME,417,31
1912,2011-2012,Computer-supported cooperative work,CS,485,15
1913,2011-2012,Conception mécanique intégrée,ME,418,13
1914,2011-2012,Conception pour X,ME,312,27
1915,2011-2012,"Conception, modélisation et simulation de systèmes de production",ME,499,19
1916,2011-2012,Concurrent algorithms,CS,453,45
1917,2011-2012,Construction en bois,CIVIL,433,15
1918,2011-2012,Corporate governance,MGT,552,14
1919,2011-2012,Corporate strategy,MGT,400,21
1920,2011-2012,Credit risk,FIN,504,18
1921,2011-2012,Cryptography and security,COM,401,86
1922,2011-2012,Data analysis and model classification,EE,516,24
1923,2011-2012,Decision-aid methodologies in transportation,CIVIL,557,9
1924,2011-2012,Deformation and fracture Laboratory Work,MSE,411,18
1925,2011-2012,Derivatives,FIN,404,25
1926,2011-2012,Design technologies for integrated systems,CS,472,20
1927,2011-2012,Dielectric and optical properties of materials,MSE,480,18
1928,2011-2012,Diffraction methods in structural biology,PHYS,437,4
1929,2011-2012,Digital 3D geometry processing,CS,446,21
1930,2011-2012,Discrete optimization,MATH,261,101
1931,2011-2012,Distributed algorithms,CS,451,109
1932,2011-2012,Distributed information systems,CS,423,115
1933,2011-2012,Distributed intelligent systems,ENG,466,48
1934,2011-2012,Distributed intelligent systems project,ENG,466,20
1935,2011-2012,Droit : contrats et responsabilité professionnelle,ENV,466,43
1936,2011-2012,Dynamical system theory for engineers,COM,502,18
1937,2011-2012,Dynamique des structures,CIVIL,420,62
1938,2011-2012,Dynamique moléculaire et simulation Monte-Carlo,CH,351,16
1939,2011-2012,Dynamique numérique des solides et des structures,ME,473,16
1940,2011-2012,Eco-morphologie fluviale,ENV,418,33
1941,2011-2012,Econometrics,FIN,403,24
1942,2011-2012,Economics of Innovation,MGT,501,27
1943,2011-2012,Economics of innovation in the biomedical industry,MGT,403,8
1944,2011-2012,Economie des transports,CIVIL,456,26
1945,2011-2012,Economie hydraulique,CIVIL,441,64
1946,2011-2012,Electron microscopy: advanced methods,MSE,450,17
1947,2011-2012,Electronic spectroscopy,CH,444,1
1948,2011-2012,Elliptic partial differential equations,MATH,406,3
1949,2011-2012,Embedded systems,CS,473,34
1950,2011-2012,Empirical methods in Finance,FIN,407,23
1951,2011-2012,Energy conversion,ME,452,47
1952,2011-2012,Energétique du bâtiment,ENG,445,36
1953,2011-2012,Engines and fuel cells,ME,551,25
1954,2011-2012,Enterprise and service-oriented architecture,CS,491,29
1955,2011-2012,Entrepreneurship & new venture strategy,MGT,413,25
1956,2011-2012,Entrepreneurship laboratory (e-lab),MGT,517,6
1957,2011-2012,Environmental transport phenomena,ENG,420,46
1958,2011-2012,Equilibrium-stage separation processes,ChE,401,7
1959,2011-2012,Esthétique des ouvrages de génie civil,CIVIL,476,49
1960,2011-2012,Etudes d'impact,ENG,474,115
1961,2011-2012,Experimental data analysis and modelization,MSE,400,9
1962,2011-2012,Experimental methods in physics I,PHYS,405,24
1963,2011-2012,Experimental methods in physics II,PHYS,406,6
1964,2011-2012,Experimental molecular sciences,CH,490,10
1965,2011-2012,Exploitation ferroviaire,CIVIL,452,17
1966,2011-2012,Fabrication assistée par ordinateur,ME,416,31
1967,2011-2012,Financial & managerial accounting,MGT,481,28
1968,2011-2012,Fixed income analysis,FIN,505,19
1969,2011-2012,Food biotechnology,ENG,436,2
1970,2011-2012,Foundations of imaging science,CS,445,25
1971,2011-2012,Foundations of software,CS,452,39
1972,2011-2012,Fracture mechanics,ME,432,14
1973,2011-2012,Frontiers in nanosciences,PHYS,407,10
1974,2011-2012,Fundamentals & processes for photovoltaic devices,MICRO,565,16
1975,2011-2012,Fundamentals of biomedical imaging,PHYS,438,16
1976,2011-2012,Fundamentals of biophotonics,BIO,443,1
1977,2011-2012,Fundamentals of neuroengineering,BIOENG,448,8
1978,2011-2012,Fundamentals of traffic operations and control,CIVIL,457,12
1979,2011-2012,Genomics and bioinformatics,BIO,463,5
1980,2011-2012,Geomonitoring,ENV,445,22
1981,2011-2012,Gestion foncière et droit foncier,ENV,460,7
1982,2011-2012,Global business environment,FIN,523,22
1983,2011-2012,Graph theory,MATH,360,50
1984,2011-2012,Géomécanique,CIVIL,402,9
1985,2011-2012,HF and VHF circuits and techniques I,EE,425,68
1986,2011-2012,HF and VHF circuits and techniques II,EE,525,17
1987,2011-2012,Habitat et développement urbain,AR,465,53
1988,2011-2012,Hardware systems modeling I,EE,432,66
1989,2011-2012,Hardware systems modeling II,EE,433,18
1990,2011-2012,Heat and mass transfer,ME,341,76
1991,2011-2012,Histoire de l'architecture VII,AR,423,65
1992,2011-2012,Histoire de l'architecture VIII,AR,424,56
1993,2011-2012,Human computer interaction,CS,486,35
1994,2011-2012,Hydraulic turbomachines,ME,453,25
1995,2011-2012,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,410,27
1996,2011-2012,Hydrodynamics,ME,444,34
1997,2011-2012,Hydrodynamique acoustique,ME,443,19
1998,2011-2012,Hydrogeophysics,ENV,523,24
1999,2011-2012,Hydrologie urbaine,ENV,417,35
2000,2011-2012,IT security engineering,COM,418,68
2001,2011-2012,IT security engineering TP,COM,418,41
2002,2011-2012,Image analysis and pattern recognition,EE,451,26
2003,2011-2012,Image and video processing,EE,550,37
2004,2011-2012,Image communication,EE,551,20
2005,2011-2012,Image processing I,MICRO,511,99
2006,2011-2012,Image processing II,MICRO,512,38
2007,2011-2012,Imaging optics,MICRO,421,6
2008,2011-2012,Immunology (advanced topics),BIO,479,10
2009,2011-2012,Industrial automation,CS,487,26
2010,2011-2012,Industrialisation,MICRO,343,54
2011,2011-2012,"Industry dynamics, models & trends",MGT,453,31
2012,2011-2012,Infection biology,BIO,477,8
2013,2011-2012,Information technology and e-business strategy,MGT,439,7
2014,2011-2012,Information theory and coding,COM,404,64
2015,2011-2012,Information: strategy & economics,MGT,431,3
2016,2011-2012,Innovation & management in the energy industry,MGT,407,10
2017,2011-2012,Inorganic reactivity,CH,423,6
2018,2011-2012,Instability and turbulence,ME,461,11
2019,2011-2012,Intelligent agents,CS,430,23
2020,2011-2012,Interaction sol-structure,CIVIL,500,20
2021,2011-2012,Introduction au génie chimique II,ChE,202,59
2022,2011-2012,Introduction au génie chimique TP,ChE,203,51
2023,2011-2012,Introduction to cellular and molecular biotechnology,BIOENG,430,6
2024,2011-2012,Introduction to chemical engineering I,ChE,201,67
2025,2011-2012,Introduction to computer graphics,CS,341,35
2026,2011-2012,Introduction to database systems,CS,322,50
2027,2011-2012,Introduction to electronic structure methods,CH,353,20
2028,2011-2012,Introduction to finance,FIN,401,23
2029,2011-2012,Introduction to particle accelerators,PHYS,448,18
2030,2011-2012,Introduction to the finite elements method,MATH,350,34
2031,2011-2012,Introduction à l'architecture,AR,429,67
2032,2011-2012,Introduction à la physique des astroparticules,PHYS,439,6
2033,2011-2012,Investments,FIN,405,24
2034,2011-2012,L'ingénieur dans R&D industriels,MICRO,540,37
2035,2011-2012,Lasers and applications in chemistry,CH,446,4
2036,2011-2012,Lasers and optics of nanostructures,MICRO,422,8
2037,2011-2012,Leadership & human resource management in a global context,MGT,468,16
2038,2011-2012,Life cycle engineering of polymers,MSE,430,14
2039,2011-2012,Lifecycle economic and environmental performance of product systems,ME,516,4
2040,2011-2012,Logistique et analyse de la demande,MGT,426,7
2041,2011-2012,Macrofinance,FIN,406,24
2042,2011-2012,Management de projet et analyse du risque,MGT,427,5
2043,2011-2012,Management of industrial production,ENG,434,9
2044,2011-2012,Mass spectrometry,CH,403,7
2045,2011-2012,Materials for sport,MSE,473,11
2046,2011-2012,Materials science,MSE,403,4
2047,2011-2012,Materials selection,MSE,474,35
2048,2011-2012,Mathematical modelling of DNA,MATH,481,6
2049,2011-2012,Mathematical modelling of behavior,MATH,463,13
2050,2011-2012,Matériaux et structures,CIVIL,532,58
2051,2011-2012,Matériaux pierreux et conservation du patrimoine bâti,MSE,472,12
2052,2011-2012,Media security,EE,552,9
2053,2011-2012,Microelectronics,MICRO,432,10
2054,2011-2012,Microelectronics for systems on chips,CS,474,11
2055,2011-2012,Microsystèmes et capteurs TP I,MICRO,433,10
2056,2011-2012,Microsystèmes et capteurs TP II,MICRO,434,10
2057,2011-2012,Microwaves,EE,445,34
2058,2011-2012,Mobile networks,COM,405,61
2059,2011-2012,Mobile robots,MICRO,454,32
2060,2011-2012,Model predictive control,ME,425,22
2061,2011-2012,Modeling of emerging electron devices,EE,537,2
2062,2011-2012,Modelling and optimization of energy systems,ME,454,24
2063,2011-2012,Modèles stochastiques pour les communications,COM,300,37
2064,2011-2012,Modélisation et représentation informatique I,AR,411,103
2065,2011-2012,Modélisation et représentation informatique II,AR,412,108
2066,2011-2012,Modélisation et simulation par éléments finis,ME,373,57
2067,2011-2012,Multidisciplinary organization of medtechs/biotechs,BIO,430,5
2068,2011-2012,Mécanique des structures (pour GM),ME,232,110
2069,2011-2012,Mécanique des structures II,ME,232,75
2070,2011-2012,Mécanique vibratoire,ME,332,66
2071,2011-2012,Méthodes de détection optique,MICRO,523,31
2072,2011-2012,Méthodes de production,MICRO,340,60
2073,2011-2012,Nanobiotechnology and biophysics,CH,413,10
2074,2011-2012,Nanoelectronics,EE,535,45
2075,2011-2012,Negotiation techniques,MGT,466,12
2076,2011-2012,Neurosciences I : molecular neuroscience and neurodegeneration,BIO,480,9
2077,2011-2012,Neurosciences II : cellular neuroscience and networks,BIO,482,10
2078,2011-2012,Neurosciences III : behavioral and cognitive neuroscience,BIO,483,11
2079,2011-2012,Neutronics,PHYS,443,19
2081,2011-2012,Nuclear fusion and plasma physics,PHYS,445,15
2082,2011-2012,Numerical analysis and computational mathematics,MATH,456,10
2083,2011-2012,Numerical approximation of PDEs,MATH,451,7
2084,2011-2012,Numerical flow simulation,ME,474,29
2085,2011-2012,Numerical integration of dynamical systems,MATH,452,7
2086,2011-2012,Numerical methods in biomechanics,ME,484,9
2087,2011-2012,Numerical methods in heat transfer,ME,571,31
2088,2011-2012,Ondes de crue et de rupture de barrage,CIVIL,515,6
2089,2011-2012,Optical waves propagation,MICRO,567,8
2090,2011-2012,Optics III,PHYS,449,1
2091,2011-2012,Optimal decision analysis,MGT,483,17
2092,2011-2012,Optique I,PHYS,317,32
2093,2011-2012,Optique II,PHYS,318,9
2094,2011-2012,Optique TP,MICRO,423,5
2095,2011-2012,Opto- and macroelectronic materials,MICRO,566,7
2096,2011-2012,"Organic electronic materials - synthesis, applications, properties",MSE,486,13
2097,2011-2012,Organic semiconductors,MSE,478,9
2098,2011-2012,"Organisation, économie et droit de la construction I",ENG,470,57
2099,2011-2012,"Organisation, économie et droit de la construction II",ENG,471,31
2100,2011-2012,Parallel computing and pthreads,MATH,454,11
2101,2011-2012,Particle detection,PHYS,440,10
2102,2011-2012,Particle-based methods,ME,476,9
2103,2011-2012,Particules élémentaires I,PHYS,415,4
2104,2011-2012,Particules élémentaires II,PHYS,416,6
2105,2011-2012,Pattern classification and machine learning,CS,433,60
2106,2011-2012,Performance evaluation,COM,503,12
2107,2011-2012,Personal interaction studio,CS,489,13
2108,2011-2012,Pharmaceutical biotechnology,ChE,436,13
2109,2011-2012,Pharmacological chemistry,CH,414,5
2110,2011-2012,Pharmacology and pharmacokinetics,BIO,478,10
2111,2011-2012,Photochemistry I,CH,442,9
2112,2011-2012,Photochemistry II,CH,443,4
2113,2011-2012,Physical and computational organic chemistry,CH,431,3
2114,2011-2012,Physical models for micro and nanosystems,EE,536,43
2115,2011-2012,"Physics of atoms, nuclei and elementary particles",PHYS,411,8
2116,2011-2012,Physiologie par systèmes I,BIO,376,78
2117,2011-2012,Physique des nouveaux matériaux,PHYS,328,7
2118,2011-2012,Physique du solide III,PHYS,419,5
2119,2011-2012,Physique moléculaire,CH,462,4
2120,2011-2012,Planification intégrée des infrastructures d'énergie,CIVIL,442,13
2121,2011-2012,Plasma physics II,PHYS,423,6
2122,2011-2012,Plasma physics III,PHYS,424,2
2123,2011-2012,Polyelectrolytes and biopolymers,ChE,412,14
2124,2011-2012,Polymer chemistry and macromolecular engineering,MSE,437,16
2125,2011-2012,Polymer morphological characterization techniques,MSE,451,11
2126,2011-2012,Polymer physical chemistry and materials properties,MSE,431,17
2127,2011-2012,Ponts en béton,CIVIL,430,22
2128,2011-2012,Ponts en métal,CIVIL,431,31
2129,2011-2012,Powder technology,MSE,462,20
2130,2011-2012,Power system restructuring and deregulation,EE,570,37
2131,2011-2012,Powerplants and heat pumps,ME,459,21
2132,2011-2012,Practical business law,MGT,455,10
2133,2011-2012,Presentation skills,MGT,469,7
2134,2011-2012,Principles and applications of systems biology,ChE,411,14
2135,2011-2012,Principles of microeconomics,MGT,454,41
2136,2011-2012,Probability theory,MATH,432,7
2137,2011-2012,Process development I,ChE,451,9
2138,2011-2012,Process development II,ChE,452,7
2139,2011-2012,Process development project,ChE,459,6
2140,2011-2012,Production management,ME,419,31
2141,2011-2012,Program parallelization on PC clusters,CS,425,21
2142,2011-2012,Project in genomics and bioinformatics,BIO,466,1
2143,2011-2012,Quantitative methods in finance,FIN,402,24
2144,2011-2012,Quantitative risk management,FIN,417,29
2145,2011-2012,Quantitative risk management,MATH,471,29
2146,2011-2012,Quantitative systems modeling techniques,MGT,430,4
2147,2011-2012,Quantum physics III,PHYS,425,10
2148,2011-2012,Reactor technology,PHYS,447,18
2149,2011-2012,Real options and financial structuring,FIN,410,19
2150,2011-2012,Real-time embedded systems,CS,476,19
2151,2011-2012,Real-time networks,COM,413,16
2152,2011-2012,Recycling of materials,MSE,463,49
2153,2011-2012,Relativistic quantum fields I,PHYS,431,6
2154,2011-2012,Relativistic quantum fields II,PHYS,432,6
2155,2011-2012,Relativity and cosmology I,PHYS,427,10
2156,2011-2012,Relativity and cosmology II,PHYS,428,9
2157,2011-2012,Reliability of MEMS,MICRO,533,20
2158,2011-2012,Renewable energy,ME,460,35
2159,2011-2012,Risk management,ENG,430,13
2160,2011-2012,Risques hydrologiques et aménagements,ENV,524,14
2161,2011-2012,Robotique industrielle et appliquée,MICRO,451,30
2162,2011-2012,Robust and nonparametric statistics,MATH,441,3
2163,2011-2012,Réseaux hydrauliques et énergétiques,CIVIL,445,12
2164,2011-2012,Safety of chemical processes,ENG,431,6
2165,2011-2012,Sanitary engineering in developing countries,ENV,402,39
2166,2011-2012,Scaling laws in micro- and nanosystems,MICRO,430,15
2167,2011-2012,Sciences de la ville I,AR,459,38
2168,2011-2012,Sciences de la ville II,AR,460,25
2169,2011-2012,Securitization & the financial crisis,FIN,524,19
2170,2011-2012,Selected topics in nuclear and particle physics,PHYS,400,6
2171,2011-2012,Semiconductor electronic and optoelectronic devices I,PHYS,433,7
2172,2011-2012,Semiconductor electronic and optoelectronic devices II,PHYS,434,4
2173,2011-2012,"Semiconductor materials and properties, from the bulk to the nanostructure",MSE,484,29
2174,2011-2012,Seminar series on advances in materials,MSE,470,63
2175,2011-2012,Set theory,MATH,318,1
2176,2011-2012,Signal processing for communications,COM,303,38
2177,2011-2012,Signal processing for functional brain imaging,MICRO,513,9
2178,2011-2012,Simulation multi-corps assistée par ordinateur,ME,475,13
2179,2011-2012,Sociologie urbaine,AR,489,46
2180,2011-2012,Software engineering,CS,305,64
2181,2011-2012,Software-defined radio: a hands-on course,COM,511,7
2182,2011-2012,Solid state physics IV,PHYS,420,8
2183,2011-2012,Space mission design and operations,EE,585,53
2184,2011-2012,Spatial statistics and analysis,ENG,440,51
2185,2011-2012,Spectroscopie analytique,CH,460,8
2186,2011-2012,Speech processing,EE,553,12
2187,2011-2012,Statistical physics III,PHYS,435,9
2188,2011-2012,Statistical physics IV,PHYS,436,11
2189,2011-2012,Statistical physics of biomacromolecules,PHYS,441,16
2190,2011-2012,Statistical theories and electronic of solids,CH,441,3
2191,2011-2012,Statistical theory,MATH,442,11
2192,2011-2012,Statistique multivariée,MATH,444,4
2193,2011-2012,Stem cell biology and technology,BIO,447,14
2194,2011-2012,Stochastic calculus I,FIN,408,24
2195,2011-2012,Stochastic calculus II,FIN,409,24
2196,2011-2012,Strategic marketing & technology commercialization,MGT,401,17
2197,2011-2012,Structure and reactivity,CH,432,11
2198,2011-2012,Structure et architecture,CIVIL,434,35
2199,2011-2012,Structures complexes,AR,535,36
2200,2011-2012,"Structures en béton, chapitres choisis",CIVIL,525,66
2201,2011-2012,"Structures en métal, chapitres choisis",CIVIL,526,48
2202,2011-2012,Structures existantes I : Sécurité et durabilité,CIVIL,436,60
2203,2011-2012,Structures existantes II : Interventions,CIVIL,437,48
2204,2011-2012,Student seminar: security protocols and applications,COM,506,3
2205,2011-2012,Supply chain management,MGT,526,18
2206,2011-2012,Supramolecular aspects of polymeric materials,MSE,488,27
2207,2011-2012,Supramolecular chemistry,CH,424,6
2208,2011-2012,"Synthesis, analysis and verification",CS,550,12
2209,2011-2012,"Systems, architectures and methodologies for information and signal processing",EE,555,11
2210,2011-2012,Systèmes de management environnementaux,ENV,469,15
2211,2011-2012,Systèmes de transports,CIVIL,453,36
2212,2011-2012,Systèmes mécatroniques,ME,424,10
2213,2011-2012,TCP/IP networking,COM,407,75
2214,2011-2012,TP de bioprocédés environnementaux,ENV,506,5
2215,2011-2012,Techniques d'assemblage I,MICRO,440,23
2216,2011-2012,Techniques d'assemblage II,MICRO,441,23
2217,2011-2012,Technologie des microstructures I,MICRO,331,56
2218,2011-2012,Technologie des microstructures II,MICRO,431,11
2219,2011-2012,Technology & innovation management,MGT,405,41
2220,2011-2012,Technology strategy & corporate entrepreneurship,MGT,503,30
2221,2011-2012,Test of VLSI systems,EE,530,47
2222,2011-2012,Thin film fabrication processes,MSE,465,22
2223,2011-2012,Théorie de l'espace,AR,461,65
2224,2011-2012,Théorie et critique du projet MA1 (Gugger),AR,401,20
2225,2011-2012,Théorie et critique du projet MA1 (Huang),AR,401,10
2226,2011-2012,Théorie et critique du projet MA1 (Lamunière),AR,401,14
2227,2011-2012,Théorie et critique du projet MA1 (Weinand),AR,401,12
2228,2011-2012,Théorie et critique du projet MA2 (Gugger),AR,402,20
2229,2011-2012,Théorie et critique du projet MA2 (Huang),AR,402,11
2230,2011-2012,Théorie et critique du projet MA2 (Lamunière),AR,402,16
2231,2011-2012,Théorie et critique du projet MA2 (Weinand),AR,402,15
2232,2011-2012,Théorie et critique du projet MA3 (Lamunière),AR,501,1
2233,2011-2012,Théorie et critique du projet MA3 (Weinand),AR,501,1
2234,2011-2012,Time series,MATH,342,45
2235,2011-2012,Tissue engineering,BIOENG,449,8
2236,2011-2012,Topics in number theory,MATH,417,3
2237,2011-2012,Total synthesis of natural products,CH,438,7
2238,2011-2012,Transducteurs et entraînements intégrés,EE,461,45
2239,2011-2012,Transport et télématique,CIVIL,454,12
2240,2011-2012,Tribology,MSE,485,36
2241,2011-2012,Turbomachines thermiques,ME,455,24
2242,2011-2012,Two-phase flows and heat transfer,ME,446,33
2243,2011-2012,UE : Environnement et GC,CIVIL,472,54
2244,2011-2012,UE B : Critique architecturale,AR,432,22
2245,2011-2012,UE C : Architecture et archéologie,AR,420,9
2246,2011-2012,UE D : Territoire et société,AR,466,9
2247,2011-2012,UE E : Architecture et structures,AR,438,9
2248,2011-2012,UE F : Architecture et réhabilitation,AR,439,15
2249,2011-2012,UE I : Analogue-Digital-Virtuel,AR,414,23
2250,2011-2012,UE J : Territoire et paysage,AR,471,10
2251,2011-2012,UE L : Art et architecture I,AR,415,25
2252,2011-2012,UE M : Espace et lumière: le projet d'éclairage,AR,441,26
2253,2011-2012,UE N : Art et architecture II,AR,416,21
2254,2011-2012,Unsupervised & reinforcement learning in neural networks,CS,434,14
2255,2011-2012,Urban hydraulic systems,CIVIL,413,29
2256,2011-2012,Urbanisme en Asie,AR,456,65
2257,2011-2012,VLSI design I,EE,430,62
2258,2011-2012,VLSI design II,EE,431,17
2259,2011-2012,Venture capital,FIN,522,9
2260,2011-2012,Ville et mobilité,AR,458,44
2261,2011-2012,Villes et transports,CIVIL,451,16
2262,2011-2012,Virtual reality,CS,444,23
2263,2011-2012,Voies de circulation,CIVIL,406,13
2264,2011-2012,Water and wastewater treatment,ENV,405,50
2265,2011-2012,Water quality modeling,ENG,400,7
2266,2011-2012,Water resources engineering,ENV,424,59
2267,2011-2012,Wave propagation along transmission lines,EE,575,12
2268,2011-2012,"Wood structures, properties and uses",MSE,466,12
2269,2012-2013,A guided tour for engineers in applied stochastic modelling,MICRO,541,12
2270,2012-2013,Advanced Fossil and Renewable Energy Systems,ME,442,23
2271,2012-2013,Advanced MEMS & microsystems,MICRO,534,23
2272,2012-2013,Advanced NMR and imaging,CH,401,3
2273,2012-2013,Advanced algorithms,CS,450,64
2274,2012-2013,Advanced analog and RF integrated circuits design I,EE,520,15
2275,2012-2013,Advanced analog and RF integrated circuits design II,EE,521,10
2276,2012-2013,Advanced analysis I,MATH,400,14
2277,2012-2013,Advanced analysis II,MATH,401,8
2278,2012-2013,Advanced bioengineering methods laboratory,BIOENG,444,6
