,course_name,year,section,nr_students
6186,Coordination chemistry,2013-2014,Chimie et génie chimique,85
6187,Coordination chemistry,2014-2015,Chimie et génie chimique,47
6188,Coordination chemistry,2015-2016,Chimie et génie chimique,42
6189,Coordination chemistry,2016-2017,Chimie et génie chimique,61
6190,Coordination chemistry,2017-2018,Chimie et génie chimique,49
6191,Coordination chemistry,2018-2019,Chimie et génie chimique,51
6192,Coordination chemistry,2019-2020,Chimie et génie chimique,25
6193,Coordination chemistry and reactivity of f elements,2015-2016,Chimie moléculaire et biologique,3
6194,Coordination chemistry and reactivity of f elements,2016-2017,Chimie moléculaire et biologique,6
6195,Coordination chemistry and reactivity of f elements,2017-2018,Chimie moléculaire et biologique,6
6196,Corporate and business strategy,2004-2005,Management de la technologie,14
6197,Corporate and business strategy,2005-2006,Management de la technologie,12
6198,Corporate and business strategy,2006-2007,Management de la technologie,11
6199,Corporate and business strategy,2007-2008,Management de la technologie,12
6200,Corporate and business strategy,2007-2008,Mineurs,1
6201,Corporate and business strategy,2008-2009,Management de la technologie,9
6202,Corporate and business strategy,2008-2009,Mineurs,2
6203,Corporate and business strategy,2009-2010,Management de la technologie,27
6204,Corporate and business strategy,2009-2010,Mineurs,1
6205,Corporate finance,2004-2005,Management de la technologie,13
6206,Corporate finance,2005-2006,Management de la technologie,9
6207,Corporate finance,2006-2007,Management de la technologie,10
6208,Corporate governance,2004-2005,Management de la technologie,13
6209,Corporate governance,2005-2006,Management de la technologie,22
6210,Corporate governance,2006-2007,Management de la technologie,15
6211,Corporate governance,2006-2007,Systèmes de communication - master,1
6212,Corporate governance,2007-2008,Management de la technologie,9
6213,Corporate governance,2007-2008,Systèmes de communication - master Eurecom,1
6214,Corporate governance,2008-2009,Management de la technologie,9
6215,Corporate governance,2008-2009,Mineurs,3
6216,Corporate governance,2010-2011,"Management, technologie et entrepreneuriat",4
6217,Corporate governance,2010-2011,Mineurs,2
6218,Corporate governance,2011-2012,"Management, technologie et entrepreneuriat",9
6219,Corporate governance,2011-2012,"Mineur en Management, technologie et entrepreneuriat",5
6220,Corporate governance,2012-2013,"Management, technologie et entrepreneuriat",11
6221,Corporate governance,2012-2013,"Mineur en Management, technologie et entrepreneuriat",3
6222,Corporate governance,2013-2014,"Management, technologie et entrepreneuriat",7
6223,Corporate governance,2013-2014,"Mineur en Management, technologie et entrepreneuriat",3
6224,Corporate governance,2014-2015,"Management, technologie et entrepreneuriat",17
6225,Corporate governance,2014-2015,"Mineur en Management, technologie et entrepreneuriat",4
6226,Corporate governance,2015-2016,"Management, technologie et entrepreneuriat",5
6227,Corporate governance,2016-2017,"Management, technologie et entrepreneuriat",11
6228,Corporate governance,2016-2017,"Mineur en Management, technologie et entrepreneuriat",2
6229,Corporate governance,2017-2018,"Management, technologie et entrepreneuriat",7
6230,Corporate governance,2017-2018,"Mineur en Management, technologie et entrepreneuriat",3
6231,Corporate governance,2018-2019,"Management, technologie et entrepreneuriat",12
6232,Corporate governance,2018-2019,"Mineur en Management, technologie et entrepreneuriat",1
6233,Corporate strategy,2010-2011,"Management, technologie et entrepreneuriat",14
6234,Corporate strategy,2010-2011,Mineurs,1
6235,Corporate strategy,2011-2012,"Management, technologie et entrepreneuriat",19
6236,Corporate strategy,2011-2012,"Mineur en Management, technologie et entrepreneuriat",2
6237,Corporate strategy,2012-2013,"Management, technologie et entrepreneuriat",15
6238,Corporate strategy,2012-2013,"Mineur en Management, technologie et entrepreneuriat",1
6239,Corporate strategy,2013-2014,"Management, technologie et entrepreneuriat",12
6240,Corporate strategy,2013-2014,"Mineur en Management, technologie et entrepreneuriat",2
6241,Corporate strategy,2014-2015,"Management, technologie et entrepreneuriat",8
6242,Corporate strategy,2015-2016,"Management, technologie et entrepreneuriat",13
6243,Corporate strategy,2015-2016,"Mineur en Management, technologie et entrepreneuriat",1
6244,Corporate strategy,2016-2017,"Management, technologie et entrepreneuriat",9
6245,Corporate strategy,2017-2018,"Management, technologie et entrepreneuriat",12
6246,Corporate strategy,2017-2018,"Mineur en Management, technologie et entrepreneuriat",1
6247,Corporate strategy,2018-2019,Gestion de l'énergie et durabilité,7
6248,Corporate strategy,2018-2019,"Management, technologie et entrepreneuriat",10
6249,Corporate strategy,2019-2020,"Management, technologie et entrepreneuriat",13
6250,Corporate strategy,2019-2020,"Mineur en Management, technologie et entrepreneuriat",2
6251,Corporate venturing in technology sectors,2006-2007,Management de la technologie,6
6252,Corporate venturing in technology sectors,2007-2008,Management de la technologie,3
6253,Corrosion et protection des métaux,2006-2007,Science et génie des matériaux,27
6254,Corrosion et protection des métaux,2007-2008,Science et génie des matériaux,20
6255,Corrosion et protection des métaux,2008-2009,Science et génie des matériaux,22
6256,Corrosion et protection des métaux,2009-2010,Science et génie des matériaux,18
6257,Corrosion et protection des métaux,2010-2011,Science et génie des matériaux,18
6258,Corrosion et protection des métaux + TP,2011-2012,Science et génie des matériaux,56
6259,Corrosion et protection des métaux + TP,2013-2014,Science et génie des matériaux,27
6260,Corrosion et protection des métaux + TP,2014-2015,Science et génie des matériaux,28
6261,Corrosion et protection des métaux + TP,2015-2016,Science et génie des matériaux,20
6262,Corrosion et protection des métaux + TP,2016-2017,Science et génie des matériaux,13
6263,Corrosion et protection des métaux + TP,2017-2018,Science et génie des matériaux,20
6264,Corrosion et protection des métaux + TP,2018-2019,Science et génie des matériaux,12
6265,Corrosion et protection des métaux + TP,2019-2020,Science et génie des matériaux,17
6266,Corrélations et prévisions,2004-2005,Mathématiques,10
6267,Corrélations et prévisions,2005-2006,Mathématiques,19
6268,Corrélations et prévisions,2006-2007,Mathématiques,16
6269,Corrélations et prévisions,2007-2008,Mathématiques,17
6270,Corrélations et prévisions,2008-2009,Mathématiques,7
6271,Corrélations et prévisions,2009-2010,Mathématiques,13
6272,Corrélations et prévisions,2010-2011,Mathématiques,13
6273,Courbes algébriques,2007-2008,Mathématiques,6
6274,Cours UNIL  - Faculté de biologie et de médecine (printemps 11),2010-2011,Hors plans,1
6275,Cours UNIL - Faculté de biologie et de médecine I (automne),2014-2015,Hors plans,1
6276,Cours UNIL - Faculté des géosciences et de l'environnement GSE  (printemps 13),2012-2013,Hors plans,1
6277,Cours UNIL - Faculté des géosciences et de l'environnement GSE I (automne),2014-2015,Hors plans,1
6278,Cours UNIL - Faculté des hautes études commerciales HEC (automne 07/08),2007-2008,Hors plans,1
6279,Cours UNIL - Faculté des hautes études commerciales HEC (automne 10/11),2010-2011,Hors plans,1
6280,Cours UNIL - Faculté des hautes études commerciales HEC (automne 11/12),2011-2012,Hors plans,1
6281,Cours UNIL - Faculté des hautes études commerciales HEC (automne 13/14),2013-2014,Hors plans,1
6282,Cours UNIL - Faculté des hautes études commerciales HEC (hiver 06/07),2006-2007,Hors plans,6
6283,Cours UNIL - Faculté des hautes études commerciales HEC (printemps 08),2007-2008,Hors plans,1
6284,Cours UNIL - Faculté des hautes études commerciales HEC (printemps 10),2009-2010,Hors plans,1
6285,Cours UNIL - Faculté des hautes études commerciales HEC (printemps 11),2010-2011,Hors plans,1
6286,Cours UNIL - Faculté des hautes études commerciales HEC (printemps 13),2012-2013,Hors plans,1
6287,Cours UNIL - Faculté des hautes études commerciales HEC (printemps 14),2013-2014,Hors plans,1
6288,Cours UNIL - Faculté des hautes études commerciales HEC (été 07),2006-2007,Hors plans,8
6289,Cours UNIL - Faculté des hautes études commerciales HEC I (automne),2014-2015,Hors plans,2
6290,Cours UNIL - Faculté des hautes études commerciales HEC I (automne),2015-2016,Hors plans,2
6291,Cours UNIL - Faculté des hautes études commerciales HEC I (automne),2016-2017,Hors plans,3
6292,Cours UNIL - Faculté des hautes études commerciales HEC I (automne),2017-2018,Hors plans,2
6293,Cours UNIL - Faculté des hautes études commerciales HEC I (automne),2018-2019,Hors plans,4
6294,Cours UNIL - Faculté des hautes études commerciales HEC I (printemps),2014-2015,Hors plans,1
6295,Cours UNIL - Faculté des hautes études commerciales HEC I (printemps),2017-2018,Hors plans,3
6296,Cours UNIL - Faculté des hautes études commerciales HEC I (printemps),2018-2019,Hors plans,3
6297,Cours UNIL - Faculté des hautes études commerciales HEC I (printemps),2019-2020,Hors plans,1
6298,Cours UNIL - Faculté des hautes études commerciales HEC II (automne),2014-2015,Hors plans,2
6299,Cours UNIL - Faculté des hautes études commerciales HEC II (automne),2015-2016,Hors plans,1
6300,Cours UNIL - Faculté des hautes études commerciales HEC II (automne),2016-2017,Hors plans,1
6301,Cours UNIL - Faculté des hautes études commerciales HEC II (automne),2017-2018,Hors plans,2
6302,Cours UNIL - Faculté des hautes études commerciales HEC II (automne),2018-2019,Hors plans,3
6303,Cours UNIL - Faculté des hautes études commerciales HEC II (printemps),2014-2015,Hors plans,1
6304,Cours UNIL - Faculté des hautes études commerciales HEC II (printemps),2016-2017,Hors plans,1
6305,Cours UNIL - Faculté des hautes études commerciales HEC II (printemps),2017-2018,Hors plans,3
6306,Cours UNIL - Faculté des hautes études commerciales HEC II (printemps),2018-2019,Hors plans,3
6307,Cours UNIL - Faculté des hautes études commerciales HEC II (printemps),2019-2020,Hors plans,1
6308,Cours UNIL - Faculté des lettres I (automne),2016-2017,Hors plans,1
6309,Cours UNIL - Faculté des lettres I (automne),2018-2019,Hors plans,1
6310,Cours UNIL - Faculté des sciences sociales et politiques SSP (printemps 11),2010-2011,Hors plans,1
6311,Cours UNIL - Faculté des sciences sociales et politiques SSP (printemps 13),2012-2013,Hors plans,1
6312,Cours UNIL - Faculté des sciences sociales et politiques SSP I (automne),2018-2019,Hors plans,1
6313,Cours UNIL - HEC (hiver 05-06),2005-2006,Hors plans,9
6314,Cours UNIL - HEC (été 06),2005-2006,Hors plans,8
6315,Coxeter groups,2018-2019,Mathématiques,18
6316,Coxeter groups,2019-2020,Mathématiques,20
6317,Credit risk,2011-2012,Ingénierie financière,18
6318,Credit risk,2012-2013,Ingénierie financière,22
6319,Credit risk,2013-2014,Ingénierie financière,28
6320,Credit risk,2014-2015,Ingénierie financière,32
6321,Credit risk,2015-2016,Ingénierie financière,28
6322,Credit risk,2016-2017,Ingénierie financière,23
6323,Credit risk,2017-2018,Ingénierie financière,24
6324,Credit risk and fixed income analysis,2009-2010,Ingénierie financière,11
6325,Credit risk and fixed income analysis,2010-2011,Ingénierie financière,19
6326,Cristallographie,2004-2005,Science et génie des matériaux,31
6327,Cristallographie,2005-2006,Science et génie des matériaux,27
6328,Cristallographie,2006-2007,Science et génie des matériaux,23
6329,Cristallographie,2007-2008,Mineurs,2
6330,Cristallographie,2007-2008,Science et génie des matériaux,26
6331,Cristallographie,2008-2009,Mineurs,1
6332,Cristallographie,2008-2009,Science et génie des matériaux,26
6333,Cristallographie,2009-2010,Science et génie des matériaux,22
6334,Cristallographie,2010-2011,Science et génie des matériaux,23
6335,Cristallographie et méthodes de diffraction,2006-2007,Chimie moléculaire et biologique,2
6336,Cristallographie et méthodes de diffraction,2007-2008,Chimie moléculaire et biologique,4
6337,Cristallographie et méthodes de diffraction,2011-2012,Science et génie des matériaux,41
6338,Cristallographie et méthodes de diffraction,2012-2013,Science et génie des matériaux,45
6339,Critique du projet et des théories urbanistiques,2017-2018,Architecture,112
6340,Critique du projet urbain contemporain,2018-2019,Architecture,80
6341,Critique du projet urbain contemporain,2019-2020,Architecture,89
6342,Cryptography and security,2004-2005,Informatique,46
6343,Cryptography and security,2004-2005,Systèmes de communication - master,23
6344,Cryptography and security,2004-2005,Systèmes de communication - master Eurecom,32
6345,Cryptography and security,2005-2006,Informatique,57
6346,Cryptography and security,2005-2006,Systèmes de communication - master Eurecom,41
6347,Cryptography and security,2006-2007,Informatique,52
6348,Cryptography and security,2006-2007,Systèmes de communication - master,21
6349,Cryptography and security,2007-2008,Informatique,55
6350,Cryptography and security,2007-2008,Systèmes de communication - master Eurecom,11
6351,Cryptography and security,2008-2009,Informatique,24
6352,Cryptography and security,2008-2009,Systèmes de communication - master,12
6353,Cryptography and security,2009-2010,Informatique,13
6354,Cryptography and security,2009-2010,Systèmes de communication - master,18
6355,Cryptography and security,2010-2011,Informatique,78
6356,Cryptography and security,2010-2011,Systèmes de communication - master,25
6357,Cryptography and security,2011-2012,Cyber security minor,2
6358,Cryptography and security,2011-2012,Informatique,58
6359,Cryptography and security,2011-2012,Systèmes de communication - master,26
6360,Cryptography and security,2012-2013,Cyber security minor,2
6361,Cryptography and security,2012-2013,Informatique,38
6362,Cryptography and security,2012-2013,Systèmes de communication - master,27
6363,Cryptography and security,2013-2014,Cyber security minor,3
6364,Cryptography and security,2013-2014,Informatique,32
6365,Cryptography and security,2013-2014,Systèmes de communication - master,16
6366,Cryptography and security,2014-2015,Cyber security minor,1
6367,Cryptography and security,2014-2015,Informatique,39
6368,Cryptography and security,2014-2015,Systèmes de communication - master,25
6369,Cryptography and security,2015-2016,Informatique,57
6370,Cryptography and security,2015-2016,Informatique et communications,3
6371,Cryptography and security,2015-2016,Systèmes de communication - master,19
6372,Cryptography and security,2016-2017,Informatique,58
6373,Cryptography and security,2016-2017,Informatique et communications,1
6374,Cryptography and security,2016-2017,Systèmes de communication - master,8
6375,Cryptography and security,2017-2018,Informatique,41
6376,Cryptography and security,2017-2018,Informatique et communications,2
6377,Cryptography and security,2017-2018,Systèmes de communication - master,8
6378,Cryptography and security,2018-2019,Data Science,1
6379,Cryptography and security,2018-2019,Informatique,42
6380,Cryptography and security,2018-2019,Informatique et communications,2
6381,Cryptography and security,2018-2019,Systèmes de communication - master,6
6382,Cryptography and security,2019-2020,Data Science,1
6383,Cryptography and security,2019-2020,Informatique,37
6384,Cryptography and security,2019-2020,Informatique - Cybersecurity,3
6385,Cryptography and security,2019-2020,Mineur en Informatique,1
6386,Cryptography and security,2019-2020,Systèmes de communication - master,5
6387,Création d'entreprise et innovation,2004-2005,Science - Technique - Société,3
6388,Cultural data sculpting,2017-2018,Humanités digitales,5
6389,Cultural data sculpting,2018-2019,Humanités digitales,5
6390,Cultural data sculpting,2018-2019,UNIL - Autres facultés,1
6391,Cultural data sculpting,2019-2020,Humanités digitales,2
6392,Cultural data sculpting,2019-2020,UNIL - Autres facultés,2
6393,Cycle de vie des polymères,2004-2005,Science et génie des matériaux,14
6394,Cycle de vie des polymères,2005-2006,Science et génie des matériaux,17
6395,Cycle de vie des polymères,2006-2007,Science et génie des matériaux,18
6396,Cycle de vie des polymères,2007-2008,Science et génie des matériaux,16
6397,Cycle de vie des polymères,2008-2009,Science et génie des matériaux,9
6398,Cycle de vie des polymères,2009-2010,Science et génie des matériaux,19
6399,Cycle de vie des polymères,2010-2011,Science et génie des matériaux,16
6400,Céramiques,2004-2005,Science et génie des matériaux,30
6401,Céramiques,2005-2006,Science et génie des matériaux,26
6402,Céramiques,2006-2007,Science et génie des matériaux,20
6403,D. Thinking: human-centered solutions to real world problems,2014-2015,"Management, technologie et entrepreneuriat",13
6404,D. Thinking: human-centered solutions to real world problems,2014-2015,"Mineur en Management, technologie et entrepreneuriat",1
6405,"D. Thinking: real problems, human-focused solutions",2015-2016,"Management, technologie et entrepreneuriat",7
6406,"D. Thinking: real problems, human-focused solutions",2015-2016,"Mineur en Management, technologie et entrepreneuriat",1
6407,"D. Thinking: real problems, human-focused solutions",2016-2017,"Management, technologie et entrepreneuriat",7
6408,"D. Thinking: real problems, human-focused solutions",2017-2018,Humanités digitales,1
6409,"D. Thinking: real problems, human-focused solutions",2017-2018,"Management, technologie et entrepreneuriat",8
6410,"D. Thinking: real problems, human-focused solutions",2017-2018,"Mineur en Management, technologie et entrepreneuriat",1
6411,"D. Thinking: real problems, human-focused solutions",2018-2019,Gestion de l'énergie et durabilité,1
6412,"D. Thinking: real problems, human-focused solutions",2018-2019,"Management, technologie et entrepreneuriat",7
6413,"D. Thinking: real problems, human-focused solutions",2019-2020,Gestion de l'énergie et durabilité,1
6414,"D. Thinking: real problems, human-focused solutions",2019-2020,"Management, technologie et entrepreneuriat",5
6415,Data Analysis & Empirical Methods,2011-2012,"Management, technologie et entrepreneuriat",4
6416,Data analysis and model classification,2010-2011,Bioingénierie,1
6417,Data analysis and model classification,2010-2011,Sciences et technologies du vivant - master,3
6418,Data analysis and model classification,2011-2012,Bioingénierie,13
6419,Data analysis and model classification,2011-2012,Sciences et technologies du vivant - master,11
6420,Data analysis and model classification,2012-2013,Bioingénierie,12
6421,Data analysis and model classification,2012-2013,Sciences et technologies du vivant - master,9
6422,Data analysis and model classification,2013-2014,Bioingénierie,7
6423,Data analysis and model classification,2013-2014,Sciences et technologies du vivant - master,9
6424,Data analysis and model classification,2014-2015,Bioingénierie,7
6425,Data analysis and model classification,2014-2015,Sciences et technologies du vivant - master,17
6426,Data analysis and model classification,2015-2016,Bioingénierie,12
6427,Data analysis and model classification,2015-2016,Sciences et technologies du vivant - master,14
6428,Data analysis and model classification,2016-2017,Bioingénierie,14
6429,Data analysis and model classification,2016-2017,Sciences et technologies du vivant - master,14
6430,Data analysis and model classification,2017-2018,Bioingénierie,8
6431,Data analysis and model classification,2017-2018,Mineur en Neurosciences computationnelles,1
6432,Data analysis and model classification,2017-2018,Sciences et technologies du vivant - master,9
6433,Data analysis and model classification,2018-2019,Bioingénierie,10
6434,Data analysis and model classification,2018-2019,Ingénierie des sciences du vivant,53
6435,Data analysis and model classification,2018-2019,Sciences et technologies du vivant - master,4
6436,Data and artificial intelligence for transportation,2017-2018,Génie civil,16
6437,Data and artificial intelligence for transportation,2018-2019,Génie civil,20
6438,Data converter circuits and systems,2015-2016,Génie électrique et électronique,11
6439,Data converter circuits and systems,2016-2017,Génie électrique et électronique,10
6440,Data science for business,2016-2017,"Management, technologie et entrepreneuriat",4
6441,Data science for business,2017-2018,"Management, technologie et entrepreneuriat",3
6442,Data science for business,2018-2019,Gestion de l'énergie et durabilité,1
6443,Data science for business,2018-2019,Ingénierie financière,8
6444,Data science for business,2018-2019,"Management, technologie et entrepreneuriat",4
6445,Data science for business,2019-2020,Ingénierie financière,1
6446,Data science for business,2019-2020,"Management, technologie et entrepreneuriat",5
6447,Data science in practice,2017-2018,"Management, technologie et entrepreneuriat",3
6448,Data science in practice,2018-2019,Ingénierie financière,16
6449,Data science in practice,2018-2019,"Management, technologie et entrepreneuriat",6
6450,Data science in practice,2019-2020,Ingénierie financière,16
6451,Data science in practice,2019-2020,"Management, technologie et entrepreneuriat",11
6452,Data science in practice,2019-2020,"Mineur en Management, technologie et entrepreneuriat",2
6453,Data visualization,2017-2018,Data Science,7
6454,Data visualization,2017-2018,Informatique,90
6455,Data visualization,2017-2018,Systèmes de communication - master,9
6456,Data visualization,2018-2019,Data Science,12
6457,Data visualization,2018-2019,Génie électrique,1
6458,Data visualization,2018-2019,Génie électrique et électronique,2
6459,Data visualization,2018-2019,Humanités digitales,1
6460,Data visualization,2018-2019,Informatique,62
6461,Data visualization,2018-2019,Systèmes de communication - master,6
6462,Data visualization,2019-2020,Data Science,16
6463,Data visualization,2019-2020,Génie électrique et électronique,9
6464,Data visualization,2019-2020,Humanités digitales,2
6465,Data visualization,2019-2020,Informatique,61
6466,Data visualization,2019-2020,Systèmes de communication - master,1
6467,Database systems,2015-2016,Informatique,104
6468,Database systems,2015-2016,Informatique et communications,3
6469,Database systems,2015-2016,Systèmes de communication - master,8
6470,Database systems,2016-2017,Informatique,87
6471,Database systems,2016-2017,Informatique et communications,3
6472,Database systems,2016-2017,Systèmes de communication - master,5
6473,Database systems,2017-2018,Informatique,73
6474,Database systems,2017-2018,Informatique et communications,3
6475,Database systems,2017-2018,Systèmes de communication - master,2
6476,Database systems,2018-2019,Humanités digitales,1
6477,Database systems,2018-2019,Informatique,85
6478,Database systems,2018-2019,Informatique et communications,2
6479,Database systems,2018-2019,Systèmes de communication - master,3
6480,Database systems,2019-2020,Informatique,100
6481,Database systems,2019-2020,Informatique - Cybersecurity,3
6482,Database systems,2019-2020,Informatique et communications,4
6483,Database systems,2019-2020,Systèmes de communication - master,1
6484,Databases,2009-2010,Informatique,44
6485,Databases,2009-2010,Systèmes de communication,10
6486,Databases,2010-2011,Informatique,45
6487,Databases,2010-2011,Sciences et ingénierie de l'environnement,1
6488,Databases,2010-2011,Systèmes de communication,5
6489,De la structure à l'ornement,2014-2015,Architecture,150
6490,De la structure à l'ornement,2015-2016,Architecture,123
6491,De la structure à l'ornement,2015-2016,Architecture et sciences de la ville,1
6492,De la structure à l'ornement,2016-2017,Architecture,172
6493,De la structure à l'ornement,2017-2018,Architecture,153
6494,De la structure à l'ornement,2017-2018,Humanités digitales,1
6495,De la structure à l'ornement,2018-2019,Architecture,169
6496,De la structure à l'ornement,2018-2019,Humanités digitales,1
6497,De la structure à l'ornement,2019-2020,Architecture,132
6498,De la structure à l'ornement: une histoire culturelle de la construction,2013-2014,Architecture,150
6499,De- and re-regulation of Network Industries,2008-2009,Management de la technologie,4
6500,De- and re-regulation of Network Industries,2009-2010,Management de la technologie,4
6501,De- and re-regulation of Network Industries,2010-2011,Management de la technologie,7
6502,De- and re-regulation of Network Industries,2011-2012,Management de la technologie,16
6503,De- and re-regulation of Network Industries,2012-2013,Management de la technologie,2
6504,De- and re-regulation of Network Industries,2013-2014,Management de la technologie,2
6505,De- and re-regulation of Network Industries,2014-2015,Management de la technologie,6
6506,Decentralized systems engineering,2017-2018,Informatique,33
6507,Decentralized systems engineering,2017-2018,Systèmes de communication - master,1
6508,Decentralized systems engineering,2018-2019,Informatique,64
6509,Decentralized systems engineering,2018-2019,Systèmes de communication - master,4
6510,Decentralized systems engineering,2019-2020,Informatique,64
6511,Decentralized systems engineering,2019-2020,Informatique - Cybersecurity,3
6512,Decentralized systems engineering,2019-2020,Systèmes de communication - master,1
6513,Decision-aid methodologies in transportation,2011-2012,Génie civil,9
6514,Decision-aid methodologies in transportation,2012-2013,Génie civil,13
6515,Decision-aid methodologies in transportation,2013-2014,Génie civil,14
6516,Decision-aid methodologies in transportation,2014-2015,Génie civil,16
6517,Decision-aid methodologies in transportation,2015-2016,Génie civil,21
6518,Decision-aid methodologies in transportation,2016-2017,Génie civil,17
6519,Decision-aid methodologies in transportation,2017-2018,Génie civil,18
6520,Decision-aid methodologies in transportation,2018-2019,Génie civil,18
6521,Decision-aid methodologies in transportation,2018-2019,Humanités digitales,1
6522,Decision-aid methodologies in transportation,2019-2020,Génie civil,11
6523,Decision-aid methodologies in transportation,2019-2020,Humanités digitales,1
6524,Decommissioning of nuclear power plants,2015-2016,Génie nucléaire,13
6525,Decommissioning of nuclear power plants,2016-2017,Génie nucléaire,5
6526,Decommissioning of nuclear power plants,2017-2018,Génie nucléaire,4
6527,Decommissioning of nuclear power plants,2018-2019,Génie nucléaire,2
6528,Decommissioning of nuclear power plants,2019-2020,Génie nucléaire,1
6529,Deep Learning For Natural Language Processing,2019-2020,Génie électrique,8
6530,Deep Learning for Optical Imaging,2018-2019,Photonique,8
6531,Deep Learning for Optical Imaging,2019-2020,Génie électrique et électronique,5
6532,Deep Learning for Optical Imaging,2019-2020,Photonique,8
6533,Deep Learning for autonomous vehicles,2019-2020,Génie civil,8
6534,Deep learning,2017-2018,Génie électrique et électronique,58
6535,Deep learning,2018-2019,Génie électrique,2
6536,Deep learning,2018-2019,Génie électrique et électronique,36
6537,Deep learning,2018-2019,Science et ingénierie computationnelles,9
6538,Deep learning,2018-2019,UNIL - Sciences forensiques,1
6539,Deep learning,2019-2020,Data Science,21
6540,Deep learning,2019-2020,Génie électrique,1
6541,Deep learning,2019-2020,Génie électrique et électronique,19
6542,Deep learning,2019-2020,Humanités digitales,2
6543,Deep learning,2019-2020,Informatique,50
6544,Deep learning,2019-2020,Informatique - Cybersecurity,2
6545,Deep learning,2019-2020,Ingénierie des sciences du vivant,33
6546,Deep learning,2019-2020,Robotique,9
6547,Deep learning,2019-2020,Science et ingénierie computationnelles,5
6548,Deep learning,2019-2020,Systèmes de communication - master,3
6549,Deformation and fracture Laboratory Work,2008-2009,Science et génie des matériaux,15
6550,Deformation and fracture Laboratory Work,2009-2010,Science et génie des matériaux,15
6551,Deformation and fracture Laboratory Work,2010-2011,Science et génie des matériaux,16
6552,Deformation and fracture Laboratory Work,2011-2012,Science et génie des matériaux,18
6553,Deformation and fracture Laboratory Work,2012-2013,Science et génie des matériaux,20
6554,Deformation and fracture Laboratory Work,2013-2014,Science et génie des matériaux,14
6555,Deformation and fracture Laboratory Work,2014-2015,Science et génie des matériaux,15
6556,Derivatives,2009-2010,Ingénierie financière,22
6557,Derivatives,2010-2011,Ingénierie financière,25
6558,Derivatives,2011-2012,Ingénierie financière,25
6559,Derivatives,2012-2013,Ingénierie financière,33
6560,Derivatives,2013-2014,Ingénierie financière,42
6561,Derivatives,2014-2015,Ingénierie financière,30
6562,Derivatives,2015-2016,Ingénierie financière,25
6563,Derivatives,2016-2017,Ingénierie financière,23
6564,Derivatives,2017-2018,Ingénierie financière,26
6565,Derivatives,2018-2019,Ingénierie financière,37
6566,Derivatives,2019-2020,Ingénierie financière,20
6567,Des petites molécules aux biomacromolécules,2004-2005,Physique,11
6568,Des petites molécules aux biomacromolécules,2005-2006,Physique,25
6569,Design de SIG,2012-2013,Sciences et ingénierie de l'environnement,20
6570,Design de SIG,2013-2014,Sciences et ingénierie de l'environnement,13
6571,Design de SIG,2014-2015,Sciences et ingénierie de l'environnement,9
6572,Design de SIG,2015-2016,Sciences et ingénierie de l'environnement,13
6573,Design de SIG,2016-2017,Sciences et ingénierie de l'environnement,8
6574,Design de SIG,2017-2018,Sciences et ingénierie de l'environnement,9
6575,Design de SIG,2018-2019,Sciences et ingénierie de l'environnement,10
6576,Design de SIG et Web-SIG,2019-2020,Sciences et ingénierie de l'environnement,7
6577,Design et management de projet SIG,2010-2011,Sciences et ingénierie de l'environnement,7
6578,Design et management de projet SIG,2011-2012,Sciences et ingénierie de l'environnement,28
6579,Design industriel et graphique,2004-2005,Programme Sciences humaines et sociales,49
6580,Design industriel et graphique,2005-2006,Programme Sciences humaines et sociales,53
6581,Design industriel et graphique,2006-2007,Programme Sciences humaines et sociales,70
6582,Design industriel et graphique,2007-2008,Programme Sciences humaines et sociales,76
6583,Design industriel et graphique,2008-2009,Programme Sciences humaines et sociales,73
6584,Design of experiments (a) - Fall semester,2005-2006,Environnement,9
6585,Design of experiments (a) - Fall semester,2005-2006,Management de la technologie,1
6586,Design of experiments (a) - Fall semester,2005-2006,Systèmes de production et robotique,16
6587,Design of experiments (a) - Fall semester,2006-2007,Biotechnologie et génie biologique,1
6588,Design of experiments (a) - Fall semester,2006-2007,Environnement,5
6589,Design of experiments (a) - Fall semester,2006-2007,Management de la technologie,1
6590,Design of experiments (a) - Fall semester,2006-2007,Systèmes de production et robotique,3
6591,Design of experiments (a) - Fall semester,2007-2008,Biotechnologie et génie biologique,4
6592,Design of experiments (a) - Fall semester,2007-2008,Environnement,1
6593,Design of experiments (a) - Fall semester,2007-2008,Systèmes de production et robotique,6
6594,Design of experiments (a) - Fall semester,2008-2009,Systèmes de production et robotique,11
6595,Design of experiments (a) - Fall semester,2009-2010,Systèmes de production et robotique,10
6596,Design of experiments (a) - Fall semester,2010-2011,Systèmes de production et robotique,8
6597,Design of experiments (a) - Fall semester,2011-2012,Génie civil et environnement,8
6598,Design of experiments (a) - Fall semester,2011-2012,Systèmes de production et robotique,8
6599,Design of experiments (a) - Fall semester,2012-2013,Génie civil et environnement,12
6600,Design of experiments (a) - Fall semester,2012-2013,Systèmes de production et robotique,4
6601,Design of experiments (a) - Fall semester,2013-2014,Energie,1
6602,Design of experiments (a) - Fall semester,2013-2014,Génie civil et environnement,6
6603,Design of experiments (a) - Fall semester,2013-2014,Mécanique,1
6604,Design of experiments (a) - Fall semester,2013-2014,Systèmes de production et robotique,4
6605,Design of experiments (a) - Fall semester,2014-2015,Energie,2
6606,Design of experiments (a) - Fall semester,2014-2015,Génie civil et environnement,8
