,year,course_name,section,enrollments
2073,2011-2012,Nanoelectronics,EE,45
2074,2011-2012,Negotiation techniques,MGT,12
2075,2011-2012,Neurosciences I : molecular neuroscience and neurodegeneration,BIO,9
2076,2011-2012,Neurosciences II : cellular neuroscience and networks,BIO,10
2077,2011-2012,Neurosciences III : behavioral and cognitive neuroscience,BIO,11
2078,2011-2012,Neutronics,PHYS,19
2079,2011-2012,Nuclear computations lab,ETH,13
2080,2011-2012,Nuclear fusion and plasma physics,PHYS,15
2081,2011-2012,Numerical analysis and computational mathematics,MATH,10
2082,2011-2012,Numerical approximation of PDEs,MATH,7
2083,2011-2012,Numerical flow simulation,ME,29
2084,2011-2012,Numerical integration of dynamical systems,MATH,7
2085,2011-2012,Numerical methods in biomechanics,ME,9
2086,2011-2012,Numerical methods in heat transfer,ME,31
2087,2011-2012,Ondes de crue et de rupture de barrage,CIVIL,6
2088,2011-2012,Optical waves propagation,MICRO,8
2089,2011-2012,Optics III,PHYS,1
2090,2011-2012,Optimal decision analysis,MGT,17
2091,2011-2012,Optique I,PHYS,32
2092,2011-2012,Optique II,PHYS,9
2093,2011-2012,Optique TP,MICRO,5
2094,2011-2012,Opto- and macroelectronic materials,MICRO,7
2095,2011-2012,"Organic electronic materials - synthesis, applications, properties",MSE,13
2096,2011-2012,Organic semiconductors,MSE,9
2097,2011-2012,"Organisation, économie et droit de la construction I",ENG,57
2098,2011-2012,"Organisation, économie et droit de la construction II",ENG,31
2099,2011-2012,Parallel computing and pthreads,MATH,11
2100,2011-2012,Particle detection,PHYS,10
2101,2011-2012,Particle-based methods,ME,9
2102,2011-2012,Particules élémentaires I,PHYS,4
2103,2011-2012,Particules élémentaires II,PHYS,6
2104,2011-2012,Pattern classification and machine learning,CS,60
2105,2011-2012,Performance evaluation,COM,12
2106,2011-2012,Personal interaction studio,CS,13
2107,2011-2012,Pharmaceutical biotechnology,ChE,13
2108,2011-2012,Pharmacological chemistry,CH,5
2109,2011-2012,Pharmacology and pharmacokinetics,BIO,10
2110,2011-2012,Photochemistry I,CH,9
2111,2011-2012,Photochemistry II,CH,4
2112,2011-2012,Physical and computational organic chemistry,CH,3
2113,2011-2012,Physical models for micro and nanosystems,EE,43
2114,2011-2012,"Physics of atoms, nuclei and elementary particles",PHYS,8
2115,2011-2012,Physiologie par systèmes I,BIO,78
2116,2011-2012,Physique des nouveaux matériaux,PHYS,7
2117,2011-2012,Physique du solide III,PHYS,5
2118,2011-2012,Physique moléculaire,CH,4
2119,2011-2012,Planification intégrée des infrastructures d'énergie,CIVIL,13
2120,2011-2012,Plasma physics II,PHYS,6
2121,2011-2012,Plasma physics III,PHYS,2
2122,2011-2012,Polyelectrolytes and biopolymers,ChE,14
2123,2011-2012,Polymer chemistry and macromolecular engineering,MSE,16
2124,2011-2012,Polymer morphological characterization techniques,MSE,11
2125,2011-2012,Polymer physical chemistry and materials properties,MSE,17
2126,2011-2012,Ponts en béton,CIVIL,22
2127,2011-2012,Ponts en métal,CIVIL,31
2128,2011-2012,Powder technology,MSE,20
2129,2011-2012,Power system restructuring and deregulation,EE,37
2130,2011-2012,Powerplants and heat pumps,ME,21
2131,2011-2012,Practical business law,MGT,10
2132,2011-2012,Presentation skills,MGT,7
2133,2011-2012,Principles and applications of systems biology,ChE,14
2134,2011-2012,Principles of microeconomics,MGT,41
2135,2011-2012,Probability theory,MATH,7
2136,2011-2012,Process development I,ChE,9
2137,2011-2012,Process development II,ChE,7
2138,2011-2012,Process development project,ChE,6
2139,2011-2012,Production management,ME,31
2140,2011-2012,Program parallelization on PC clusters,CS,21
2141,2011-2012,Project in genomics and bioinformatics,BIO,1
2142,2011-2012,Quantitative methods in finance,FIN,24
2143,2011-2012,Quantitative risk management,FIN,29
2144,2011-2012,Quantitative risk management,MATH,29
2145,2011-2012,Quantitative systems modeling techniques,MGT,4
2146,2011-2012,Quantum physics III,PHYS,10
2147,2011-2012,Reactor technology,PHYS,18
2148,2011-2012,Real options and financial structuring,FIN,19
2149,2011-2012,Real-time embedded systems,CS,19
2150,2011-2012,Real-time networks,COM,16
2151,2011-2012,Recycling of materials,MSE,49
2152,2011-2012,Relativistic quantum fields I,PHYS,6
2153,2011-2012,Relativistic quantum fields II,PHYS,6
2154,2011-2012,Relativity and cosmology I,PHYS,10
2155,2011-2012,Relativity and cosmology II,PHYS,9
2156,2011-2012,Reliability of MEMS,MICRO,20
2157,2011-2012,Renewable energy,ME,35
2158,2011-2012,Risk management,ENG,13
2159,2011-2012,Risques hydrologiques et aménagements,ENV,14
2160,2011-2012,Robotique industrielle et appliquée,MICRO,30
2161,2011-2012,Robust and nonparametric statistics,MATH,3
2162,2011-2012,Réseaux hydrauliques et énergétiques,CIVIL,12
2163,2011-2012,Safety of chemical processes,ENG,6
2164,2011-2012,Sanitary engineering in developing countries,ENV,39
2165,2011-2012,Scaling laws in micro- and nanosystems,MICRO,15
2166,2011-2012,Sciences de la ville I,AR,38
2167,2011-2012,Sciences de la ville II,AR,25
2168,2011-2012,Securitization & the financial crisis,FIN,19
2169,2011-2012,Selected topics in nuclear and particle physics,PHYS,6
2170,2011-2012,Semiconductor electronic and optoelectronic devices I,PHYS,7
2171,2011-2012,Semiconductor electronic and optoelectronic devices II,PHYS,4
2172,2011-2012,"Semiconductor materials and properties, from the bulk to the nanostructure",MSE,29
2173,2011-2012,Seminar series on advances in materials,MSE,63
2174,2011-2012,Set theory,MATH,1
2175,2011-2012,Signal processing for communications,COM,38
2176,2011-2012,Signal processing for functional brain imaging,MICRO,9
2177,2011-2012,Simulation multi-corps assistée par ordinateur,ME,13
2178,2011-2012,Sociologie urbaine,AR,46
2179,2011-2012,Software engineering,CS,64
2180,2011-2012,Software-defined radio: a hands-on course,COM,7
2181,2011-2012,Solid state physics IV,PHYS,8
2182,2011-2012,Space mission design and operations,EE,53
2183,2011-2012,Spatial statistics and analysis,ENG,51
2184,2011-2012,Spectroscopie analytique,CH,8
2185,2011-2012,Speech processing,EE,12
2186,2011-2012,Statistical physics III,PHYS,9
2187,2011-2012,Statistical physics IV,PHYS,11
2188,2011-2012,Statistical physics of biomacromolecules,PHYS,16
2189,2011-2012,Statistical theories and electronic of solids,CH,3
2190,2011-2012,Statistical theory,MATH,11
2191,2011-2012,Statistique multivariée,MATH,4
2192,2011-2012,Stem cell biology and technology,BIO,14
2193,2011-2012,Stochastic calculus I,FIN,24
2194,2011-2012,Stochastic calculus II,FIN,24
2195,2011-2012,Strategic marketing & technology commercialization,MGT,17
2196,2011-2012,Structure and reactivity,CH,11
2197,2011-2012,Structure et architecture,CIVIL,35
2198,2011-2012,Structures complexes,AR,36
2199,2011-2012,"Structures en béton, chapitres choisis",CIVIL,66
2200,2011-2012,"Structures en métal, chapitres choisis",CIVIL,48
2201,2011-2012,Structures existantes I : Sécurité et durabilité,CIVIL,60
2202,2011-2012,Structures existantes II : Interventions,CIVIL,48
2203,2011-2012,Student seminar: security protocols and applications,COM,3
2204,2011-2012,Supply chain management,MGT,18
2205,2011-2012,Supramolecular aspects of polymeric materials,MSE,27
2206,2011-2012,Supramolecular chemistry,CH,6
2207,2011-2012,"Synthesis, analysis and verification",CS,12
2208,2011-2012,"Systems, architectures and methodologies for information and signal processing",EE,11
2209,2011-2012,Systèmes de management environnementaux,ENV,15
2210,2011-2012,Systèmes de transports,CIVIL,36
2211,2011-2012,Systèmes mécatroniques,ME,10
2212,2011-2012,TCP/IP networking,COM,75
2213,2011-2012,TP de bioprocédés environnementaux,ENV,5
2214,2011-2012,Techniques d'assemblage I,MICRO,23
2215,2011-2012,Techniques d'assemblage II,MICRO,23
2216,2011-2012,Technologie des microstructures I,MICRO,56
2217,2011-2012,Technologie des microstructures II,MICRO,11
2218,2011-2012,Technology & innovation management,MGT,41
2219,2011-2012,Technology strategy & corporate entrepreneurship,MGT,30
2220,2011-2012,Test of VLSI systems,EE,47
2221,2011-2012,Thin film fabrication processes,MSE,22
2222,2011-2012,Théorie de l'espace,AR,65
2223,2011-2012,Théorie et critique du projet MA1 (Gugger),AR,20
2224,2011-2012,Théorie et critique du projet MA1 (Huang),AR,10
2225,2011-2012,Théorie et critique du projet MA1 (Lamunière),AR,14
2226,2011-2012,Théorie et critique du projet MA1 (Weinand),AR,12
2227,2011-2012,Théorie et critique du projet MA2 (Gugger),AR,20
2228,2011-2012,Théorie et critique du projet MA2 (Huang),AR,11
2229,2011-2012,Théorie et critique du projet MA2 (Lamunière),AR,16
2230,2011-2012,Théorie et critique du projet MA2 (Weinand),AR,15
2231,2011-2012,Théorie et critique du projet MA3 (Lamunière),AR,1
2232,2011-2012,Théorie et critique du projet MA3 (Weinand),AR,1
2233,2011-2012,Time series,MATH,45
2234,2011-2012,Tissue engineering,BIOENG,8
2235,2011-2012,Topics in number theory,MATH,3
2236,2011-2012,Total synthesis of natural products,CH,7
2237,2011-2012,Transducteurs et entraînements intégrés,EE,45
2238,2011-2012,Transport et télématique,CIVIL,12
2239,2011-2012,Tribology,MSE,36
2240,2011-2012,Turbomachines thermiques,ME,24
2241,2011-2012,Two-phase flows and heat transfer,ME,33
2242,2011-2012,UE : Environnement et GC,CIVIL,54
2243,2011-2012,UE B : Critique architecturale,AR,22
2244,2011-2012,UE C : Architecture et archéologie,AR,9
2245,2011-2012,UE D : Territoire et société,AR,9
2246,2011-2012,UE E : Architecture et structures,AR,9
2247,2011-2012,UE F : Architecture et réhabilitation,AR,15
2248,2011-2012,UE I : Analogue-Digital-Virtuel,AR,23
2249,2011-2012,UE J : Territoire et paysage,AR,10
2250,2011-2012,UE L : Art et architecture I,AR,25
2251,2011-2012,UE M : Espace et lumière: le projet d'éclairage,AR,26
2252,2011-2012,UE N : Art et architecture II,AR,21
2253,2011-2012,Unsupervised & reinforcement learning in neural networks,CS,14
2254,2011-2012,Urban hydraulic systems,CIVIL,29
2255,2011-2012,Urbanisme en Asie,AR,65
2256,2011-2012,VLSI design I,EE,62
2257,2011-2012,VLSI design II,EE,17
2258,2011-2012,Venture capital,FIN,9
2259,2011-2012,Ville et mobilité,AR,44
2260,2011-2012,Villes et transports,CIVIL,16
2261,2011-2012,Virtual reality,CS,23
2262,2011-2012,Voies de circulation,CIVIL,13
2263,2011-2012,Water and wastewater treatment,ENV,50
2264,2011-2012,Water quality modeling,ENG,7
2265,2011-2012,Water resources engineering,ENV,59
2266,2011-2012,Wave propagation along transmission lines,EE,12
2267,2011-2012,"Wood structures, properties and uses",MSE,12
2268,2012-2013,A guided tour for engineers in applied stochastic modelling,MICRO,12
2269,2012-2013,Advanced Fossil and Renewable Energy Systems,ME,23
2270,2012-2013,Advanced MEMS & microsystems,MICRO,23
2271,2012-2013,Advanced NMR and imaging,CH,3
2272,2012-2013,Advanced algorithms,CS,64
2273,2012-2013,Advanced analog and RF integrated circuits design I,EE,15
2274,2012-2013,Advanced analog and RF integrated circuits design II,EE,10
2275,2012-2013,Advanced analysis I,MATH,14
2276,2012-2013,Advanced analysis II,MATH,8
2277,2012-2013,Advanced bioengineering methods laboratory,BIOENG,6
2278,2012-2013,Advanced compiler construction,CS,27
2279,2012-2013,Advanced composites in engineering structures,CIVIL,36
2280,2012-2013,Advanced computer architecture,CS,25
2281,2012-2013,Advanced control systems,ME,52
2282,2012-2013,Advanced cryptography,COM,4
2283,2012-2013,Advanced derivatives,FIN,22
2284,2012-2013,Advanced diffusional separation processes,ChE,14
2285,2012-2013,Advanced digital communications,COM,21
2286,2012-2013,Advanced energetics,ME,53
2287,2012-2013,Advanced materials for photovoltaics and lighting applications,CH,2
2288,2012-2013,Advanced multiprocessor architecture,CS,5
2289,2012-2013,Advanced nanomaterials,MSE,32
2290,2012-2013,Advanced numerical analysis,MATH,24
2291,2012-2013,Advanced optics,MICRO,18
2292,2012-2013,Advanced probability,COM,26
2293,2012-2013,Advanced satellite positioning,ENV,12
2294,2012-2013,Advanced semiconductor nanomaterials,MSE,15
2295,2012-2013,Advanced signal processing,EE,20
2296,2012-2013,Advanced solid waste treatment,ENV,13
2297,2012-2013,Advanced topics in financial econometrics,FIN,6
2298,2012-2013,Advanced topics in nuclear reactor materials,ETH,4
2299,2012-2013,Advanced wireless communications: algorithms and architectures,EE,4
2300,2012-2013,Aeroelasticity and fluid-structure interaction,ME,27
2301,2012-2013,Algebraic K-theory,MATH,4
2302,2012-2013,Algorithms,CS,172
2303,2012-2013,Aménagements hydrauliques II,CIVIL,30
2304,2012-2013,Analog circuits design I,EE,54
2305,2012-2013,Analog circuits design II,EE,19
2306,2012-2013,Analyse de risques,CIVIL,90
2307,2012-2013,"Analyse du cycle de vie, écobilan",ENV,39
2308,2012-2013,Analyse et management des risques industriels,ENV,35
2309,2012-2013,Analyse fonctionnelle II,MATH,3
2310,2012-2013,Analysis and modelling of locomotion,BIOENG,7
2311,2012-2013,Analysis on groups,MATH,2
2312,2012-2013,Applied machine learning,MICRO,38
2313,2012-2013,Applied molecular quantum chemistry,CH,6
2314,2012-2013,Applied probability & stochastic processes,COM,19
2315,2012-2013,Applied probability & stochastic processes,MGT,19
2316,2012-2013,Architecture et construction de la ville I,AR,80
2317,2012-2013,Architecture et construction de la ville II,AR,48
2318,2012-2013,Artificial organs and systems,BIOENG,17
2319,2012-2013,Artificial photosynthesis,CH,3
2320,2012-2013,Arts visuels et architecture I,AR,70
2321,2012-2013,Arts visuels et architecture II,AR,72
2322,2012-2013,Assemblage et robotique TP,MICRO,18
2323,2012-2013,Assembly techniques,MSE,13
2324,2012-2013,Astrophysics IV : observational cosmology,PHYS,4
2325,2012-2013,Atoms and radiation,CH,14
2326,2012-2013,Audio,EE,7
2327,2012-2013,Automatic speech processing,EE,28
2328,2012-2013,Aérodynamique,ME,51
2329,2012-2013,B2B - high-tech marketing,MGT,12
2330,2012-2013,Barrages et ouvrages hydrauliques annexes,CIVIL,50
2331,2012-2013,Bases de la robotique,MICRO,76
2332,2012-2013,Behavioral finance,FIN,30
2333,2012-2013,Bio-ingénierie des cours d'eau et milieux naturels,ENV,37
2334,2012-2013,Bio-inspired artificial intelligence,MICRO,19
2335,2012-2013,BioMEMS,MICRO,39
2336,2012-2013,Bioanalytics and analytical sensors,CH,2
2337,2012-2013,Biological modeling of neural networks,BIO,24
2338,2012-2013,Biomaterials,BIOENG,22
2339,2012-2013,Biomechanics of the cardiovascular system,ME,25
2340,2012-2013,Biomechanics of the musculoskeletal system,ME,19
2341,2012-2013,Biomedical optics,BIOENG,3
2342,2012-2013,Biomedical signal processing,EE,29
2343,2012-2013,Biometrics,EE,38
2344,2012-2013,Biometrics,UNIL,38
2345,2012-2013,Biomicroscopy I,MICRO,25
2346,2012-2013,Biomicroscopy II,MICRO,7
2347,2012-2013,Biomolecular structure and mechanics,BIO,10
2348,2012-2013,Biophysics II,PHYS,12
2349,2012-2013,Biophysique I,PHYS,49
2350,2012-2013,Biostatistics,MATH,4
2351,2012-2013,Brain computer interaction,EE,10
2352,2012-2013,Business plan for IT services,CS,16
2353,2012-2013,Cancer biology I,BIO,3
2354,2012-2013,Cancer biology II,BIO,5
2355,2012-2013,Capteurs,MICRO,80
2356,2012-2013,Caractères architecturaux et urbanismes de l'Islam,AR,67
2357,2012-2013,Catalysis for energy production,CH,20
2358,2012-2013,Catalyst design for synthesis,CH,8
2359,2012-2013,Catalytic asymmetric reactions in organic chemistry,CH,4
2360,2012-2013,Cavitation et phénomènes d'interface,ME,40
2361,2012-2013,Cellular biology and biochemistry for engineers,BIO,20
2362,2012-2013,Cellular signalling,CH,4
2363,2012-2013,Cementitious materials (advanced),MSE,11
2364,2012-2013,Chemical engineering lab & project,ChE,15
2365,2012-2013,Chemical engineering of heterogenous reaction,ChE,17
2366,2012-2013,Chemical processes of sustainable and renewable energy,ChE,14
2367,2012-2013,Chemistry of food processes,ENG,13
2368,2012-2013,Chemistry of small biological molecules,CH,5
2369,2012-2013,Chimie des denrées alimentaires,ENG,21
2370,2012-2013,Circuits intégrés I,EE,10
2371,2012-2013,Color reproduction,CS,7
2372,2012-2013,Combinatorial optimization,MATH,5
2373,2012-2013,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,28
2374,2012-2013,Commande non linéaire,ME,27
2375,2012-2013,Composants semiconducteurs,MICRO,87
2376,2012-2013,Composites polymères + TP,MSE,43
2377,2012-2013,Composites technology,MSE,35
2378,2012-2013,Computational game theory & applications,CS,6
2379,2012-2013,Computational methods in molecular quantum mechanics,CH,6
2380,2012-2013,Computational motor control,CS,4
2381,2012-2013,Computational physics III,PHYS,29
2382,2012-2013,Computer algebra,MATH,29
2383,2012-2013,Computer simulation of physical systems I,PHYS,9
2384,2012-2013,Computer simulation of physical systems II,PHYS,3
2385,2012-2013,Computer vision,CS,46
2386,2012-2013,Computer-aided engineering,ME,43
2387,2012-2013,Computer-supported cooperative work,CS,24
2388,2012-2013,Conception mécanique intégrée,ME,27
2389,2012-2013,Conception pour X,ME,29
2390,2012-2013,"Conception, modélisation et simulation de systèmes de production",ME,23
2391,2012-2013,Concurrent algorithms,CS,53
2392,2012-2013,Construction en bois,CIVIL,22
2393,2012-2013,Corporate governance,MGT,14
2394,2012-2013,Corporate strategy,MGT,16
2395,2012-2013,Credit risk,FIN,22
2396,2012-2013,Cryptography and security,COM,67
2397,2012-2013,Data analysis and model classification,EE,21
2398,2012-2013,Decision-aid methodologies in transportation,CIVIL,13
2399,2012-2013,Deformation and fracture Laboratory Work,MSE,20
2400,2012-2013,Derivatives,FIN,33
2401,2012-2013,Design technologies for integrated systems,CS,17
2402,2012-2013,Dielectric and optical properties of materials,MSE,9
2403,2012-2013,Diffraction methods in structural biology,PHYS,3
2404,2012-2013,Digital 3D geometry processing,CS,15
2405,2012-2013,Distributed algorithms,CS,140
2406,2012-2013,Distributed information systems,CS,96
2407,2012-2013,Distributed intelligent systems,ENG,44
2408,2012-2013,Distributed intelligent systems project,ENG,28
2409,2012-2013,Droit : contrats et responsabilité professionnelle,ENV,57
2410,2012-2013,Dynamic coordination,EE,27
2411,2012-2013,Dynamical system theory for engineers,COM,15
2412,2012-2013,Dynamique des structures,CIVIL,89
2413,2012-2013,Dynamique moléculaire et simulation Monte-Carlo,CH,13
2414,2012-2013,Dynamique numérique des solides et des structures,ME,30
2415,2012-2013,Early detection of innovation potential,MGT,10
2416,2012-2013,Eco-morphologie fluviale,ENV,31
2417,2012-2013,Econometrics,FIN,29
2418,2012-2013,Econometrics: data analysis & empirical methods,MGT,16
2419,2012-2013,Economics of innovation in the biomedical industry,MGT,10
2420,2012-2013,Economie des transports,CIVIL,36
2421,2012-2013,Economie hydraulique,CIVIL,72
2422,2012-2013,Economie spatiale et régionale,AR,50
2423,2012-2013,Electrodynamique et Optique quantique,PHYS,3
2424,2012-2013,Electromagnetic compatibility,EE,13
2425,2012-2013,Electron microscopy: advanced methods,MSE,14
2426,2012-2013,Electronic spectroscopy,CH,3
2427,2012-2013,Elliptic partial differential equations,MATH,2
2428,2012-2013,Embedded systems,CS,29
2429,2012-2013,Empirical methods in Finance,FIN,31
2430,2012-2013,Energy conversion,ME,45
2431,2012-2013,Energétique du bâtiment,ENG,33
2432,2012-2013,Engines and fuel cells,ME,36
2433,2012-2013,Enquêtes et méthodes quantitatives,ENG,5
2434,2012-2013,Enterprise and service-oriented architecture,CS,22
2435,2012-2013,Entrepreneurship & new venture strategy (a),MGT,11
2436,2012-2013,Entrepreneurship & new venture strategy (b),MGT,12
2437,2012-2013,Entrepreneurship laboratory (e-lab),MGT,13
2438,2012-2013,Environmental transport phenomena,ENG,61
2439,2012-2013,"Environnements de travail, risques professionnels",ENV,14
2440,2012-2013,Equilibrium-stage separation processes,ChE,15
2441,2012-2013,Esthétique des ouvrages de génie civil,CIVIL,74
2442,2012-2013,Etudes d'impact,ENG,34
2443,2012-2013,Experimental data analysis and modelization,MSE,17
2444,2012-2013,Experimental methods in physics I,PHYS,20
2445,2012-2013,Experimental methods in physics II,PHYS,6
2446,2012-2013,Experimental molecular sciences,CH,6
2447,2012-2013,Exploitation ferroviaire,CIVIL,11
2448,2012-2013,Fabrication assistée par ordinateur,ME,40
2449,2012-2013,Fate and behaviour of organic pollutants,ENV,12
2450,2012-2013,Financial & managerial accounting,MGT,24
2451,2012-2013,Fixed income analysis,FIN,22
2452,2012-2013,Food biotechnology,ENG,9
2453,2012-2013,Foundations of imaging science,CS,17
2454,2012-2013,Foundations of software,CS,45
2455,2012-2013,Fracture mechanics,ME,17
2456,2012-2013,Frontiers in nanosciences,PHYS,12
2457,2012-2013,Fundamentals & processes for photovoltaic devices,MICRO,22
2458,2012-2013,Fundamentals of biomedical imaging,PHYS,20
2459,2012-2013,Fundamentals of biophotonics,BIO,4
2460,2012-2013,Fundamentals of neuroengineering,BIOENG,20
2461,2012-2013,Fundamentals of traffic operations and control,CIVIL,14
2462,2012-2013,Genomics and bioinformatics,BIO,16
2463,2012-2013,Geocomputation,ENV,16
2464,2012-2013,Geomonitoring,ENV,27
2465,2012-2013,Gestion de la maintenance des infrastructures,CIVIL,30
2466,2012-2013,Gestion foncière et droit foncier,ENV,12
2467,2012-2013,Global business environment,FIN,15
2468,2012-2013,Graph theory,MATH,40
2469,2012-2013,Groundwater and soil remediation,ENV,20
2470,2012-2013,Géomécanique,CIVIL,16
2471,2012-2013,Géopolitique et politique de la mondialisation I,HUM,1
2472,2012-2013,Géopolitique et politique de la mondialisation II,HUM,1
2473,2012-2013,Gödel and recursivity,MATH,8
2474,2012-2013,HF and VHF circuits and techniques I,EE,49
2475,2012-2013,HF and VHF circuits and techniques II,EE,11
2476,2012-2013,Habitat et développement urbain,AR,31
2477,2012-2013,Haptic human robot interfaces,MICRO,11
2478,2012-2013,Hardware systems modeling I,EE,52
2479,2012-2013,Hardware systems modeling II,EE,17
2480,2012-2013,Heat and mass transfer,ME,91
2481,2012-2013,Histoire de l'architecture VII,AR,46
2482,2012-2013,Histoire de l'architecture VIII,AR,50
2483,2012-2013,Histoire du béton,AR,27
2484,2012-2013,Human computer interaction,CS,19
2485,2012-2013,Hydraulic turbomachines,ME,40
2486,2012-2013,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,41
2487,2012-2013,Hydrodynamics,ME,47
2488,2012-2013,Hydrodynamique acoustique,ME,19
2489,2012-2013,Hydrogeophysics,ENV,39
2490,2012-2013,Hydrologie urbaine,ENV,42
2491,2012-2013,IT security engineering,COM,61
2492,2012-2013,IT security engineering TP,COM,41
2493,2012-2013,Image analysis and pattern recognition,EE,20
2494,2012-2013,Image and video processing,EE,18
2495,2012-2013,Image processing I,MICRO,73
2496,2012-2013,Image processing II,MICRO,26
2497,2012-2013,Imaging optics,MICRO,15
2498,2012-2013,Immunology (advanced topics),BIO,2
2499,2012-2013,Industrial automation,CS,29
2500,2012-2013,Industrial electronics I,EE,29
2501,2012-2013,Industrial electronics II,EE,12
2502,2012-2013,Industrialisation,MICRO,84
2503,2012-2013,"Industry dynamics, models & trends",MGT,24
2504,2012-2013,Infection biology,BIO,5
2505,2012-2013,Information technology and e-business strategy,MGT,20
2506,2012-2013,Information theory and coding,COM,61
2507,2012-2013,Information: strategy & economics,MGT,9
2508,2012-2013,Innovation & management in the energy industry,MGT,7
2509,2012-2013,Inorganic reactivity,CH,9
2510,2012-2013,Instability and turbulence,ME,17
2511,2012-2013,Integrated circuits technology,EE,20
2512,2012-2013,Intelligent agents,CS,41
2513,2012-2013,Interaction sol-structure,CIVIL,53
2514,2012-2013,Introduction au droit et à l'éthique en STV,BIO,16
2515,2012-2013,Introduction au génie chimique II,ChE,69
2516,2012-2013,Introduction to cellular and molecular biotechnology,BIOENG,11
2517,2012-2013,Introduction to chemical engineering I,ChE,80
2518,2012-2013,Introduction to computer graphics,CS,52
2519,2012-2013,Introduction to database systems,CS,85
2520,2012-2013,Introduction to electronic structure methods,CH,12
2521,2012-2013,Introduction to finance,FIN,26
2522,2012-2013,Introduction to nanomaterials,MSE,8
2523,2012-2013,Introduction to particle accelerators,PHYS,12
2524,2012-2013,Introduction to quality management and management systems,MGT,10
2525,2012-2013,Introduction to the finite elements method,MATH,37
2526,2012-2013,Introduction à la physique des astroparticules,PHYS,2
2527,2012-2013,Investments,FIN,31
2528,2012-2013,L'ingénieur dans R&D industriels,MICRO,28
2529,2012-2013,Lasers and applications in chemistry,CH,7
2530,2012-2013,Lasers and optics of nanostructures,MICRO,18
2531,2012-2013,Leadership & human resource management in a global context,MGT,22
2532,2012-2013,Life cycle engineering of polymers,MSE,22
2533,2012-2013,Lifecycle economic and environmental performance of product systems,ME,19
2534,2012-2013,Logistique et analyse de la demande,MGT,9
2535,2012-2013,Macrofinance,FIN,30
2536,2012-2013,Management de projet et analyse du risque,MGT,12
2537,2012-2013,Management of Enterprise Networks and Supply Chain Management,MGT,38
2538,2012-2013,Management of industrial production,ENG,17
2539,2012-2013,Martingales in financial mathematics,MATH,3
2540,2012-2013,Mass spectrometry,CH,11
2541,2012-2013,Materials for sport,MSE,18
2542,2012-2013,Materials science,MSE,14
2543,2012-2013,Materials selection,MSE,22
2544,2012-2013,Mathematical modelling of behavior,MATH,18
2545,2012-2013,Matériaux et structures,CIVIL,61
2546,2012-2013,Matériaux pierreux et conservation du patrimoine bâti,MSE,18
2547,2012-2013,Media security,EE,15
2548,2012-2013,Methods for rapid production and development,ME,18
2549,2012-2013,Microelectronics,MICRO,15
2550,2012-2013,Microelectronics for systems on chips,CS,13
2551,2012-2013,Microsystèmes et capteurs TP I,MICRO,14
2552,2012-2013,Microsystèmes et capteurs TP II,MICRO,14
2553,2012-2013,Microwaves,EE,19
2554,2012-2013,Mobile networks,COM,54
2555,2012-2013,Mobile robots,MICRO,35
2556,2012-2013,Model predictive control,ME,37
2557,2012-2013,Model-based system design,CS,13
2558,2012-2013,Modeling of emerging electron devices,EE,8
2559,2012-2013,Modelling and optimization of energy systems,ME,32
2560,2012-2013,Modèles stochastiques pour les communications,COM,52
2561,2012-2013,Modélisation et représentation informatique I,AR,83
2562,2012-2013,Modélisation et représentation informatique II,AR,99
2563,2012-2013,Modélisation et simulation par éléments finis,ME,56
2564,2012-2013,Multidisciplinary organization of medtechs/biotechs,BIO,14
2565,2012-2013,Mécanique des structures II,ME,114
2566,2012-2013,Mécanique vibratoire,ME,90
2567,2012-2013,Méthodes de détection optique,MICRO,16
2568,2012-2013,Méthodes de production,MICRO,89
2569,2012-2013,Nanobiotechnology and biophysics,CH,21
2570,2012-2013,Nanoelectronics,EE,40
2571,2012-2013,Negotiation techniques,MGT,13
2572,2012-2013,Neurosciences I : molecular neuroscience and neurodegeneration,BIO,6
2573,2012-2013,Neurosciences II : cellular neuroscience and networks,BIO,14
2574,2012-2013,Neurosciences III : behavioral and cognitive neuroscience,BIO,6
2575,2012-2013,Neutronics,PHYS,12
2576,2012-2013,New tools and research strategies in personalized medicine,BIO,4
2577,2012-2013,Nonlinear optics,PHYS,5
2578,2012-2013,Nuclear computations lab,ETH,5
2579,2012-2013,Nuclear fusion and plasma physics,PHYS,10
2580,2012-2013,Numerical analysis and computational mathematics,MATH,8
2581,2012-2013,Numerical approximation of PDE's I,MATH,5
2582,2012-2013,Numerical flow simulation,ME,51
2583,2012-2013,Numerical integration of dynamical systems,MATH,8
2584,2012-2013,Numerical methods in biomechanics,ME,4
2585,2012-2013,Numerical methods in heat transfer,ME,34
2586,2012-2013,Ondes de crue et de rupture de barrage,CIVIL,7
2587,2012-2013,Operations: economics & strategy,MGT,10
2588,2012-2013,Optimal decision analysis,MGT,25
2589,2012-2013,Optique III,PHYS,3
2590,2012-2013,Optique TP,MICRO,11
2591,2012-2013,Opto- and macroelectronic materials,MICRO,10
2592,2012-2013,Organic semiconductors,MSE,8
2593,2012-2013,"Organisation, économie et droit de la construction I",ENG,86
2594,2012-2013,"Organisation, économie et droit de la construction II",ENG,45
