,course_name,year,semester,nr_students
5778,Energétique appliquée,2005-2006,Bachelor semestre 5,19
5779,Energétique avancée et moteurs,2004-2005,Master semestre 1,21
5780,Energétique avancée et moteurs,2005-2006,Master semestre 1,17
5781,Energétique avancée et moteurs,2006-2007,Master semestre 1,16
5782,Energétique avancée et moteurs,2007-2008,Master semestre 1,21
5783,Energétique du bâtiment,2004-2005,Master semestre 1,6
5784,Energétique du bâtiment,2005-2006,Master semestre 1,22
5785,Energétique du bâtiment,2006-2007,Master semestre 1,27
5786,Energétique du bâtiment,2007-2008,Master semestre 1,36
5787,Energétique du bâtiment,2008-2009,Master semestre 1,29
5788,Energétique du bâtiment,2008-2009,Semestre automne,1
5789,Energétique du bâtiment,2009-2010,Master semestre 1,41
5790,Energétique du bâtiment,2009-2010,Semestre automne,1
5791,Energétique du bâtiment,2010-2011,Master semestre 1,41
5792,Energétique du bâtiment,2011-2012,Master semestre 1,35
5793,Energétique du bâtiment,2011-2012,Semestre automne,1
5794,Energétique du bâtiment,2012-2013,Master semestre 1,29
5795,Energétique du bâtiment,2012-2013,Master semestre 3,3
5796,Energétique du bâtiment,2012-2013,Semestre automne,1
5797,Energétique du bâtiment,2013-2014,Master semestre 1,41
5798,Energétique du bâtiment,2013-2014,Master semestre 3,3
5799,Energétique du bâtiment,2014-2015,Master semestre 1,111
5800,Energétique du bâtiment,2015-2016,Master semestre 1,109
5801,Energétique du bâtiment,2016-2017,Master semestre 1,101
5802,Engineering geology for geo-energy,2015-2016,Master semestre 2,14
5803,Engineering geology for geo-energy,2016-2017,Master semestre 2,10
5804,Engineering geology for geo-energy,2018-2019,Master semestre 2,8
5805,Engineering geology for geo-energy,2019-2020,Master semestre 2,13
5806,Engines and fuel cells,2009-2010,Master semestre 1,9
5807,Engines and fuel cells,2010-2011,Master semestre 1,21
5808,Engines and fuel cells,2011-2012,Master semestre 1,25
5809,Engines and fuel cells,2012-2013,Master semestre 1,33
5810,Engines and fuel cells,2012-2013,Master semestre 3,3
5811,Engines and fuel cells,2013-2014,Master semestre 1,42
5812,Engines and fuel cells,2013-2014,Master semestre 3,2
5813,Engines and fuel cells,2014-2015,Master semestre 1,42
5814,Engines and fuel cells,2015-2016,Master semestre 1,50
5815,Engines and fuel cells,2016-2017,Master semestre 1,38
5816,Engines and fuel cells,2017-2018,Master semestre 1,44
5817,Engines and fuel cells,2018-2019,Master semestre 1,51
5818,Engines and fuel cells,2019-2020,Master semestre 1,65
5819,Enquêtes et méthodes quantitatives,2005-2006,Master semestre 1,7
5820,Enquêtes et méthodes quantitatives,2006-2007,Master semestre 1,13
5821,Enquêtes et méthodes quantitatives,2008-2009,Master semestre 1,4
5822,Enquêtes et méthodes quantitatives,2010-2011,Master semestre 1,8
5823,Enquêtes et méthodes quantitatives,2010-2011,Semestre automne,1
5824,Enquêtes et méthodes quantitatives,2012-2013,Master semestre 1,5
5825,Enquêtes et méthodes quantitatives,2014-2015,Master semestre 1,4
5826,Enquêtes et méthodes quantitatives,2014-2015,Semestre automne,1
5827,Enterprise and service-oriented architecture,2006-2007,Master semestre 2,33
5828,Enterprise and service-oriented architecture,2007-2008,Master semestre 2,19
5829,Enterprise and service-oriented architecture,2007-2008,Master semestre 4,1
5830,Enterprise and service-oriented architecture,2007-2008,Semestre printemps,3
5831,Enterprise and service-oriented architecture,2009-2010,Master semestre 2,19
5832,Enterprise and service-oriented architecture,2009-2010,Semestre printemps,1
5833,Enterprise and service-oriented architecture,2010-2011,Master semestre 2,28
5834,Enterprise and service-oriented architecture,2010-2011,Master semestre 4,6
5835,Enterprise and service-oriented architecture,2011-2012,Master semestre 2,21
5836,Enterprise and service-oriented architecture,2011-2012,Master semestre 4,8
5837,Enterprise and service-oriented architecture,2012-2013,Master semestre 2,22
5838,Enterprise and service-oriented architecture,2013-2014,Master semestre 2,23
5839,Enterprise and service-oriented architecture,2013-2014,Master semestre 4,2
5840,Enterprise and service-oriented architecture,2014-2015,Master semestre 2,26
5841,Enterprise and service-oriented architecture,2015-2016,Master semestre 2,29
5842,Enterprise and service-oriented architecture,2016-2017,Master semestre 2,27
5843,Enterprise and service-oriented architecture,2017-2018,Master semestre 2,25
5844,Enterprise and service-oriented architecture,2018-2019,Master semestre 2,20
5845,Enterprise and service-oriented architecture,2019-2020,Master semestre 2,12
5846,Enterprise and service-oriented architecture,2019-2020,Master semestre 4,1
5847,Entrepreneurial finance  (for master programme),2004-2005,Master semestre 2,13
5848,Entrepreneurial finance  (for master programme),2004-2005,Mineur semestre 2,3
5849,Entrepreneurial finance  (for master programme),2005-2006,Master semestre 2,12
5850,Entrepreneurial finance  (for master programme),2005-2006,Mineur semestre 2,3
5851,Entrepreneurial finance  (for master programme),2006-2007,Master semestre 2,5
5852,Entrepreneurial finance  (for master programme),2007-2008,Master semestre 2,7
5853,Entrepreneurial finance  (for master programme),2007-2008,Semestre printemps,1
5854,Entrepreneurial finance  (for master programme),2008-2009,Master semestre 2,21
5855,Entrepreneurship & new venture strategy,2010-2011,Master semestre 1,10
5856,Entrepreneurship & new venture strategy,2010-2011,Semestre automne,3
5857,Entrepreneurship & new venture strategy,2011-2012,Master semestre 1,24
5858,Entrepreneurship & new venture strategy,2011-2012,Semestre automne,1
5859,Entrepreneurship & new venture strategy,2017-2018,Master semestre 2,16
5860,Entrepreneurship & new venture strategy,2017-2018,Semestre printemps,1
5861,Entrepreneurship & new venture strategy,2018-2019,Master semestre 2,2
5862,Entrepreneurship & new venture strategy,2019-2020,Master semestre 2,7
5863,Entrepreneurship & new venture strategy,2019-2020,Semestre printemps,1
5864,Entrepreneurship & new venture strategy (a),2012-2013,Master semestre 1,10
5865,Entrepreneurship & new venture strategy (a),2012-2013,Semestre automne,1
5866,Entrepreneurship & new venture strategy (a),2013-2014,Master semestre 1,5
5867,Entrepreneurship & new venture strategy (a),2013-2014,Semestre automne,2
5868,Entrepreneurship & new venture strategy (a),2014-2015,Master semestre 1,10
5869,Entrepreneurship & new venture strategy (a),2014-2015,Semestre automne,4
5870,Entrepreneurship & new venture strategy (a),2015-2016,Master semestre 1,10
5871,Entrepreneurship & new venture strategy (a),2016-2017,Master semestre 1,15
5872,Entrepreneurship & new venture strategy (a),2016-2017,Semestre automne,1
5873,Entrepreneurship & new venture strategy (b),2012-2013,Master semestre 2,12
5874,Entrepreneurship & new venture strategy (b),2013-2014,Master semestre 4,12
5875,Entrepreneurship & new venture strategy (b),2013-2014,Semestre printemps,1
5876,Entrepreneurship (Autumn),2007-2008,Master semestre 1,8
5877,Entrepreneurship (Autumn),2007-2008,Semestre automne,1
5878,Entrepreneurship (Autumn),2008-2009,Master semestre 1,14
5879,Entrepreneurship (Autumn),2008-2009,Semestre automne,4
5880,Entrepreneurship (Autumn),2009-2010,Master semestre 1,17
5881,Entrepreneurship (Autumn),2009-2010,Semestre automne,2
5882,Entrepreneurship (Cours pour UNIL),2005-2006,Master semestre 1,6
5883,Entrepreneurship (Cours pour UNIL),2005-2006,Mineur semestre 1,3
5884,Entrepreneurship (Spring),2007-2008,Master semestre 2,8
5885,Entrepreneurship (Spring),2007-2008,Semestre printemps,3
5886,Entrepreneurship (Spring),2008-2009,Master semestre 2,14
5887,Entrepreneurship (Spring),2008-2009,Semestre printemps,4
5888,Entrepreneurship (Spring),2009-2010,Master semestre 2,32
5889,Entrepreneurship (Spring),2009-2010,Semestre printemps,1
5890,Entrepreneurship (for master programme),2004-2005,Master semestre 2,11
5891,Entrepreneurship (for master programme),2004-2005,Mineur semestre 2,3
5892,Entrepreneurship (for master programme),2005-2006,Master semestre 2,8
5893,Entrepreneurship (for master programme),2005-2006,Mineur semestre 2,2
5894,Entrepreneurship (for master programme),2006-2007,Master semestre 1,16
5895,Entrepreneurship (for master programme),2006-2007,Master semestre 2,9
5896,Entrepreneurship and emerging economies (course),2008-2009,Master semestre 2,2
5897,Entrepreneurship and emerging economies (course),2009-2010,Master semestre 2,13
5898,Entrepreneurship and emerging economies (practical project / trip),2009-2010,Master semestre 2,12
5899,Entrepreneurship laboratory (e-lab),2011-2012,Master semestre 1,6
5900,Entrepreneurship laboratory (e-lab),2012-2013,Master semestre 1,13
5901,Entrepreneurship laboratory (e-lab),2013-2014,Master semestre 1,11
5902,Entrepreneurship laboratory (e-lab),2014-2015,Master semestre 1,10
5903,Entrepreneurship laboratory (e-lab),2015-2016,Master semestre 1,12
5904,Entrepreneurship laboratory (e-lab),2016-2017,Master semestre 1,6
5905,Entrepreneurship laboratory (e-lab),2017-2018,Master semestre 1,12
5906,Entrepreneurship laboratory (e-lab),2018-2019,Master semestre 1,16
5907,Environment chemical and biological technology,2013-2014,Master semestre 4,3
5908,Environment chemical and biological technology,2014-2015,Master semestre 2,6
5909,Environment chemical and biological technology,2015-2016,Master semestre 2,3
5910,Environment chemical and biological technology,2015-2016,Semestre printemps,1
5911,Environment chemical and biological technology,2016-2017,Master semestre 2,9
5912,Environmental Engineering Seminar series (Autumn),2007-2008,Master semestre 1,30
5913,Environmental Engineering Seminar series (Autumn),2008-2009,Master semestre 1,22
5914,Environmental Engineering Seminar series (Autumn),2009-2010,Master semestre 1,42
5915,Environmental Engineering Seminar series (Spring),2007-2008,Master semestre 2,2
5916,Environmental Engineering Seminar series (Spring),2008-2009,Master semestre 2,8
5917,Environmental Engineering Seminar series (Spring),2009-2010,Master semestre 2,12
5918,Environmental Engineering Seminar series (summer),2006-2007,Master semestre 2,4
5919,Environmental Engineering Seminar series (winter),2006-2007,Master semestre 1,33
5920,Environmental chemistry,2011-2012,Bachelor semestre 4,63
5921,Environmental chemistry,2012-2013,Bachelor semestre 4,73
5922,Environmental chemistry,2013-2014,Bachelor semestre 4,61
5923,Environmental chemistry,2014-2015,Bachelor semestre 4,38
5924,Environmental chemistry,2015-2016,Bachelor semestre 4,43
5925,Environmental chemistry,2016-2017,Bachelor semestre 4,52
5926,Environmental chemistry,2017-2018,Bachelor semestre 4,68
5927,Environmental chemistry,2017-2018,Semestre printemps,1
5928,Environmental chemistry,2018-2019,Bachelor semestre 4,66
5929,Environmental chemistry,2019-2020,Bachelor semestre 3,42
5930,Environmental chemistry,2019-2020,Semestre automne,1
5931,Environmental policy,2016-2017,Master semestre 1,3
5932,Environmental policy,2016-2017,Semestre automne,1
5933,Environmental policy,2017-2018,Master semestre 1,3
5934,Environmental process design and operation ,2006-2007,Master semestre 1,24
5935,Environmental statistics (only for the first semester of master),2004-2005,Master semestre 1,45
5936,Environmental statistics (only for the first semester of master),2005-2006,Master semestre 1,60
5937,Environmental transport phenomena,2008-2009,Master semestre 1,36
5938,Environmental transport phenomena,2009-2010,Master semestre 1,50
5939,Environmental transport phenomena,2010-2011,Master semestre 1,42
5940,Environmental transport phenomena,2011-2012,Master semestre 1,46
5941,Environmental transport phenomena,2012-2013,Master semestre 1,60
5942,Environmental transport phenomena,2012-2013,Master semestre 3,1
5943,Environmental transport phenomena,2013-2014,Master semestre 1,64
5944,Environmental transport phenomena,2014-2015,Master semestre 1,63
5945,Environmental transport phenomena,2015-2016,Master semestre 1,61
5946,Environmental transport phenomena,2016-2017,Master semestre 1,47
5947,Environmental transport phenomena,2017-2018,Master semestre 1,44
5948,Environmental transport phenomena,2018-2019,Master semestre 1,60
5949,Environmental transport phenomena,2019-2020,Master semestre 1,65
5950,"Environnement naturel, architectural et construit: questions d'histoire",2004-2005,Master semestre 2,3
5951,"Environnement naturel, architectural et construit: questions d'histoire",2005-2006,Master semestre 2,9
5952,"Environnement naturel, architectural et construit: questions d'histoire",2006-2007,Master semestre 2,14
5953,"Environnement naturel, architectural et construit: questions d'histoire",2007-2008,Master semestre 2,5
5954,"Environnements de travail, risques professionnels",2012-2013,Master semestre 1,14
5955,"Environnements de travail, risques professionnels",2013-2014,Master semestre 1,16
5956,"Environnements de travail, risques professionnels",2014-2015,Master semestre 1,11
5957,"Environnements de travail, risques professionnels",2015-2016,Master semestre 1,19
5958,"Environnements de travail, risques professionnels",2016-2017,Master semestre 1,13
5959,"Environnements de travail, risques professionnels",2017-2018,Master semestre 1,8
5960,"Environnements de travail, risques professionnels",2018-2019,Master semestre 1,10
5961,"Environnements de travail, risques professionnels",2019-2020,Master semestre 1,11
5962,Equations aux dérivées partielles,2006-2007,Bachelor semestre 6,3
5963,Equations aux dérivées partielles,2007-2008,Bachelor semestre 5,10
5964,Equations aux dérivées partielles hyperboliques et paraboliques,2011-2012,Bachelor semestre 5,12
5965,Equations aux dérivées partielles hyperboliques et paraboliques,2012-2013,Bachelor semestre 5,14
5966,Equations aux dérivées partielles hyperboliques et paraboliques,2013-2014,Bachelor semestre 5,13
5967,Equations aux dérivées partielles hyperboliques et paraboliques,2014-2015,Bachelor semestre 5,6
5968,Equations aux dérivées partielles linéaires,2008-2009,Bachelor semestre 5,5
5969,Equations aux dérivées partielles linéaires,2009-2010,Bachelor semestre 5,2
5970,Equations aux dérivées partielles linéaires,2010-2011,Bachelor semestre 5,5
5971,Equations aux dérivées partielles non linéaires de l'environnement naturel,2007-2008,Master semestre 2,4
5972,Equations aux dérivées partielles non linéaires de l'environnement naturel,2008-2009,Master semestre 2,5
5973,Equations aux dérivées partielles non linéaires de l'environnement naturel,2009-2010,Master semestre 2,3
5974,Equations différentielles non linéaires,2010-2011,Master semestre 2,2
5975,Equations différentielles ordinaires,2004-2005,Bachelor semestre 6,22
5976,Equations différentielles ordinaires,2005-2006,Bachelor semestre 6,4
5977,Equations différentielles ordinaires,2006-2007,Bachelor semestre 5,9
5978,Equations différentielles ordinaires,2007-2008,Bachelor semestre 6,11
5979,Equations différentielles ordinaires,2008-2009,Bachelor semestre 6,6
5980,Equations différentielles ordinaires,2009-2010,Bachelor semestre 6,12
5981,Equations différentielles ordinaires,2010-2011,Bachelor semestre 5,8
5982,Equations différentielles ordinaires,2011-2012,Bachelor semestre 5,38
5983,Equations différentielles ordinaires,2012-2013,Bachelor semestre 5,19
5984,Equations différentielles ordinaires,2013-2014,Bachelor semestre 5,34
5985,Equations différentielles ordinaires,2014-2015,Bachelor semestre 5,42
5986,Equations différentielles ordinaires,2015-2016,Bachelor semestre 5,30
5987,Equations différentielles ordinaires,2016-2017,Bachelor semestre 5,43
5988,Equations différentielles ordinaires,2017-2018,Bachelor semestre 5,26
5989,Equations différentielles ordinaires,2018-2019,Bachelor semestre 5,26
5990,Equations différentielles ordinaires,2019-2020,Bachelor semestre 5,35
5991,Equations dérivées partielles elliptiques,2005-2006,Master semestre 1,24
5992,Equations dérivées partielles hyperboliques,2005-2006,Master semestre 2,6
5993,Equilibres et réactivité chimiques,2007-2008,Bachelor semestre 1,75
5994,Equilibres et réactivité chimiques,2008-2009,Bachelor semestre 1,93
5995,Equilibres et réactivité chimiques,2008-2009,Semestre automne,91
5996,Equilibres et réactivité chimiques,2009-2010,Bachelor semestre 1,94
5997,Equilibres et réactivité chimiques,2009-2010,Semestre automne,101
5998,Equilibres et réactivité chimiques,2010-2011,Bachelor semestre 1,82
5999,Equilibres et réactivité chimiques,2010-2011,Semestre automne,117
6000,Equilibres et réactivité chimiques,2011-2012,Bachelor semestre 1,100
6001,Equilibres et réactivité chimiques,2011-2012,Semestre automne,115
6002,Equilibres et réactivité chimiques,2012-2013,Bachelor semestre 1,128
6003,Equilibres et réactivité chimiques,2012-2013,Semestre automne,117
6004,Equilibres et réactivité chimiques,2013-2014,Bachelor semestre 1,116
6005,Equilibres et réactivité chimiques,2013-2014,Semestre automne,116
6006,Equilibres et réactivité chimiques,2014-2015,Bachelor semestre 1,120
6007,Equilibres et réactivité chimiques,2014-2015,Semestre automne,129
6008,Equilibres et réactivité chimiques,2015-2016,Bachelor semestre 1,135
6009,Equilibres et réactivité chimiques,2016-2017,Bachelor semestre 1,112
6010,Equilibres et réactivité chimiques,2017-2018,Bachelor semestre 1,87
6011,Equilibrium-stage separation processes,2008-2009,Master semestre 1,4
6012,Equilibrium-stage separation processes,2009-2010,Master semestre 1,8
6013,Equilibrium-stage separation processes,2010-2011,Master semestre 1,8
6014,Equilibrium-stage separation processes,2011-2012,Master semestre 1,7
6015,Equilibrium-stage separation processes,2012-2013,Master semestre 1,15
6016,Equilibrium-stage separation processes,2013-2014,Master semestre 1,14
6017,Equilibrium-stage separation processes,2014-2015,Master semestre 1,15
6018,Equilibrium-stage separation processes,2015-2016,Bachelor semestre 5,1
6019,Equilibrium-stage separation processes,2015-2016,Master semestre 1,10
6020,Equilibrium-stage separation processes,2015-2016,Semestre automne,3
6021,Equilibrium-stage separation processes,2017-2018,Semestre printemps,1
6022,Error correcting codes (2013),2012-2013,edoc,2
6023,Espace et lumière : le projet d'éclairage I,2004-2005,Master semestre 1,25
6024,Espace et lumière : le projet d'éclairage II,2004-2005,Master semestre 2,19
6025,Espace et lumière I,2005-2006,Master semestre 1,49
6026,Espace et lumière I,2006-2007,Master semestre 1,55
6027,Espace et lumière II,2005-2006,Master semestre 2,49
6028,Espace et lumière II,2006-2007,Master semestre 2,51
6029,Espaces de Sobolev et équations elliptiques,2017-2018,Bachelor semestre 5,10
6030,Espaces métriques et topologiques,2015-2016,Bachelor semestre 3,72
6031,Espaces métriques et topologiques,2016-2017,Bachelor semestre 3,65
6032,Espaces métriques et topologiques,2017-2018,Bachelor semestre 3,100
6033,Espaces métriques et topologiques,2018-2019,Bachelor semestre 3,101
6034,Espaces vectoriels topologiques I,2006-2007,Master semestre 1,29
6035,Espaces vectoriels topologiques II,2006-2007,Master semestre 2,25
6036,Esthétique des ouvrages de génie civil,2004-2005,Master semestre 2,7
6037,Esthétique des ouvrages de génie civil,2005-2006,Master semestre 2,22
6038,Esthétique des ouvrages de génie civil,2006-2007,Master semestre 2,48
6039,Esthétique des ouvrages de génie civil,2007-2008,Master semestre 2,28
6040,Esthétique des ouvrages de génie civil,2008-2009,Master semestre 2,36
6041,Esthétique des ouvrages de génie civil,2009-2010,Master semestre 2,48
6042,Esthétique des ouvrages de génie civil,2010-2011,Master semestre 2,51
6043,Esthétique des ouvrages de génie civil,2011-2012,Master semestre 2,49
6044,Esthétique des ouvrages de génie civil,2012-2013,Master semestre 2,74
6045,Esthétique des ouvrages de génie civil,2014-2015,Master semestre 1,76
6046,Esthétique des ouvrages de génie civil,2014-2015,Master semestre 2,41
6047,Esthétique des ouvrages de génie civil,2015-2016,Master semestre 2,83
6048,Esthétique des ouvrages de génie civil,2016-2017,Master semestre 2,63
6049,Esthétique des ouvrages de génie civil,2017-2018,Master semestre 2,42
6050,Esthétique des ouvrages de génie civil,2018-2019,Master semestre 2,34
6051,Esthétique des ouvrages de génie civil,2019-2020,Master semestre 2,38
6052,Estimation theory,2005-2006,edoc,16
6053,Etude et analyse des systèmes énergétiques,2005-2006,Bachelor semestre 5,42
6054,Etude et analyse des systèmes énergétiques,2006-2007,Bachelor semestre 5,27
6055,Etude et analyse des systèmes énergétiques,2007-2008,Bachelor semestre 5,41
6056,Etude et analyse des systèmes énergétiques,2008-2009,Bachelor semestre 5,41
6057,Etude et analyse des systèmes énergétiques,2009-2010,Bachelor semestre 5,38
6058,Etude et analyse des systèmes énergétiques,2010-2011,Bachelor semestre 5,47
6059,Etude et analyse des systèmes énergétiques,2011-2012,Bachelor semestre 5,77
6060,Etude et analyse des systèmes énergétiques,2012-2013,Bachelor semestre 5,61
6061,Etude et analyse des systèmes énergétiques,2013-2014,Bachelor semestre 5,97
6062,Etude et analyse des systèmes énergétiques,2014-2015,Bachelor semestre 5,97
6063,Etude et analyse des systèmes énergétiques,2015-2016,Bachelor semestre 5,86
6064,Etude et analyse des systèmes énergétiques,2016-2017,Bachelor semestre 5,57
6065,Etude et analyse des systèmes énergétiques,2017-2018,Bachelor semestre 5,40
6066,Etude et analyse des systèmes énergétiques,2018-2019,Bachelor semestre 5,49
6067,Etude et analyse des systèmes énergétiques,2019-2020,Bachelor semestre 5,47
6068,Etudes d'impact,2004-2005,Master semestre 1,27
6069,Etudes d'impact,2005-2006,Master semestre 1,70
6070,Etudes d'impact,2006-2007,Master semestre 1,72
6071,Etudes d'impact,2007-2008,Master semestre 1,54
6072,Etudes d'impact,2007-2008,Semestre automne,1
6073,Etudes d'impact,2008-2009,Master semestre 1,44
6074,Etudes d'impact,2009-2010,Master semestre 1,54
6075,Etudes d'impact,2010-2011,Master semestre 1,58
6076,Etudes d'impact,2010-2011,Semestre automne,1
6077,Etudes d'impact,2011-2012,Master semestre 1,115
6078,Etudes d'impact,2012-2013,Master semestre 1,34
6079,Etudes d'impact,2013-2014,Master semestre 1,24
6080,Etudes d'impact,2013-2014,Master semestre 3,3
6081,Etudes d'impact,2014-2015,Master semestre 1,31
6082,Etudes d'impact,2015-2016,Master semestre 1,52
6083,Etudes d'impact,2016-2017,Master semestre 1,62
6084,Etudes d'impact,2016-2017,Semestre automne,1
6085,Etudes d'impact,2017-2018,Master semestre 1,35
6086,Etudes d'impact,2018-2019,Master semestre 1,27
6087,Etudes d'impact,2018-2019,Semestre automne,1
6088,Etudes d'impact,2019-2020,Master semestre 1,52
6089,Evolutionary robotics,2015-2016,Master semestre 2,26
6090,Evolutionary robotics,2016-2017,Master semestre 2,44
6091,Evolutionary robotics,2017-2018,Master semestre 2,41
6092,Evolutionary robotics,2018-2019,Master semestre 2,18
6093,Executive lecture series,2010-2011,Master semestre 2,4
6094,Executive lecture series,2010-2011,Semestre printemps,1
6095,Experience design ,2018-2019,Master semestre 1,12
6096,Experience design ,2019-2020,Master semestre 1,20
6097,Experimental biochemistry and biophysics,2018-2019,Bachelor semestre 6,1
6098,Experimental data analysis and modelization,2004-2005,Master semestre 2,10
6099,Experimental data analysis and modelization,2005-2006,Master semestre 2,8
6100,Experimental data analysis and modelization,2006-2007,Master semestre 2,12
6101,Experimental data analysis and modelization,2007-2008,Master semestre 2,9
6102,Experimental data analysis and modelization,2008-2009,Master semestre 2,20
6103,Experimental data analysis and modelization,2009-2010,Master semestre 2,8
6104,Experimental data analysis and modelization,2010-2011,Master semestre 2,16
6105,Experimental data analysis and modelization,2011-2012,Master semestre 2,9
6106,Experimental data analysis and modelization,2012-2013,Master semestre 2,17
6107,Experimental data analysis and modelization,2013-2014,Master semestre 1,27
6108,Experimental design and data analysis with R,2016-2017,Master semestre 2,18
6109,Experimental design and data analysis with R,2017-2018,Master semestre 2,19
6110,Experimental design and data analysis with R,2018-2019,Master semestre 2,11
6111,Experimental design and data analysis with R,2018-2019,edoc,2
6112,Experimental methods in engineering mechanics,2018-2019,Master semestre 1,23
6113,Experimental methods in engineering mechanics,2019-2020,Master semestre 1,28
6114,Experimental methods in physics,2016-2017,Master semestre 1,6
6115,Experimental methods in physics,2017-2018,Master semestre 1,6
6116,Experimental methods in physics,2018-2019,Master semestre 1,9
6117,Experimental methods in physics,2019-2020,Master semestre 1,9
6118,Experimental methods in physics I,2008-2009,Master semestre 1,37
6119,Experimental methods in physics I,2009-2010,Master semestre 1,8
6120,Experimental methods in physics I,2010-2011,Master semestre 1,22
6121,Experimental methods in physics I,2011-2012,Master semestre 1,24
6122,Experimental methods in physics I,2012-2013,Master semestre 1,20
6123,Experimental methods in physics I,2013-2014,Master semestre 1,15
6124,Experimental methods in physics I,2014-2015,Master semestre 1,9
6125,Experimental methods in physics I,2015-2016,Master semestre 1,10
6126,Experimental methods in physics II,2008-2009,Master semestre 2,37
6127,Experimental methods in physics II,2009-2010,Master semestre 2,10
6128,Experimental methods in physics II,2010-2011,Master semestre 2,19
6129,Experimental methods in physics II,2011-2012,Master semestre 2,6
6130,Experimental methods in physics II,2012-2013,Master semestre 2,6
6131,Experimental methods in physics II,2013-2014,Master semestre 2,6
6132,Experimental molecular sciences,2007-2008,Master semestre 1,4
6133,Experimental molecular sciences,2008-2009,Master semestre 1,3
6134,Experimental molecular sciences,2009-2010,Master semestre 1,7
6135,Experimental molecular sciences,2010-2011,Master semestre 1,4
6136,Experimental molecular sciences,2011-2012,Master semestre 1,10
6137,Experimental molecular sciences,2012-2013,Master semestre 1,6
6138,Experimental molecular sciences,2013-2014,Master semestre 1,8
6139,Experimental physical chemistry,2017-2018,Bachelor semestre 6,34
6140,Experimental physical chemistry,2018-2019,Bachelor semestre 6,24
6141,Experimental physical chemistry,2019-2020,Bachelor semestre 6,23
6142,Exploitation ferroviaire,2011-2012,Master semestre 1,17
6143,Exploitation ferroviaire,2012-2013,Master semestre 1,11
6144,Exploitation ferroviaire,2013-2014,Master semestre 1,37
6145,Exploitation ferroviaire,2014-2015,Master semestre 1,6
6146,Exploitation ferroviaire,2015-2016,Master semestre 1,22
6147,Exploitation ferroviaire,2016-2017,Master semestre 1,23
6148,Exploitation ferroviaire,2017-2018,Master semestre 1,18
6149,Exploitation ferroviaire,2018-2019,Master semestre 1,27
6150,Exploratory data analysis and geovisualization,2017-2018,Master semestre 1,12
6151,Exploratory data analysis and geovisualization,2018-2019,Master semestre 1,27
6152,Exploratory data analysis and geovisualization,2019-2020,Master semestre 1,24
6153,Exposé et expression orale,2004-2005,Semestre automne,3
6154,Expérimentation numérique,2005-2006,Bachelor semestre 5,13
6155,Expérimentation numérique,2009-2010,Bachelor semestre 6,25
6156,Expérimentation numérique II,2004-2005,Bachelor semestre 5,43
6157,F elements,2004-2005,Master semestre 2,11
6158,F elements,2005-2006,Master semestre 2,9
6159,F elements,2006-2007,Master semestre 2,3
6160,F elements,2007-2008,Master semestre 2,1
6161,Fab/sim practicals,2016-2017,Master semestre 1,4
6162,Fabrication assistée par ordinateur,2004-2005,Master semestre 1,41
6163,Fabrication assistée par ordinateur,2005-2006,Master semestre 1,23
6164,Fabrication assistée par ordinateur,2006-2007,Master semestre 1,40
6165,Fabrication assistée par ordinateur,2007-2008,Master semestre 1,44
6166,Fabrication assistée par ordinateur,2008-2009,Master semestre 1,41
6167,Fabrication assistée par ordinateur,2009-2010,Master semestre 1,19
6168,Fabrication assistée par ordinateur,2010-2011,Master semestre 1,26
6169,Fabrication assistée par ordinateur,2011-2012,Master semestre 1,31
6170,Fabrication assistée par ordinateur,2012-2013,Master semestre 1,40
6171,Fabrication assistée par ordinateur,2013-2014,Master semestre 1,55
6172,Fabrication assistée par ordinateur,2014-2015,Master semestre 1,47
6173,Fabrication assistée par ordinateur,2015-2016,Master semestre 1,51
6174,Fabrication assistée par ordinateur,2016-2017,Master semestre 1,51
6175,Fabrication associative assistée par ordinateur,2015-2016,Master semestre 1,11
6176,Fate and behaviour of environmental contaminants,2017-2018,Master semestre 1,21
6177,Fate and behaviour of environmental contaminants,2018-2019,Master semestre 1,21
6178,Fate and behaviour of environmental contaminants,2019-2020,Master semestre 2,13
6179,Fate and behaviour of organic pollutants,2010-2011,Master semestre 1,18
6180,Fate and behaviour of organic pollutants,2012-2013,Master semestre 1,12
6181,Fate and behaviour of organic pollutants,2014-2015,Master semestre 1,30
6182,Fate and behaviour of organic pollutants,2015-2016,Master semestre 1,21
6183,Femtochemistry,2007-2008,Master semestre 2,1
6184,Femtochemistry,2009-2010,Master semestre 2,1
6185,Femtochemistry,2010-2011,Master semestre 2,2
6186,Field-Based Insights into the Implementation of Renewable Energies (Summer School Mont-Soleil),2018-2019,edoc,12
6187,Field-Based Insights into the Implementation of Renewable Energies (Summer School Mont-Soleil),2019-2020,edoc,12
6188,Figuration expressive,2014-2015,Bachelor semestre 5,102
6189,Figuration expressive,2015-2016,Bachelor semestre 5,102
6190,Figuration expressive,2016-2017,Bachelor semestre 5,115
6191,Figuration expressive,2017-2018,Bachelor semestre 5,96
6192,Figuration expressive,2018-2019,Bachelor semestre 5,112
6193,Figuration expressive,2019-2020,Bachelor semestre 5,94
6194,Figuration expressive,2019-2020,Semestre automne,5
6195,Filière de conversion,2004-2005,Master semestre 2,17
6196,Filière de conversion,2005-2006,Master semestre 2,29
6197,Filière de conversion,2006-2007,Master semestre 2,17
6198,Filière de conversion,2007-2008,Master semestre 2,11
