,course_name,year,semester,section,nr_students
813,Analog circuits design I,2013-2014,Master semestre 3,Micro- and Nanotechnologies for Integrated Systems,41
814,Analog circuits design I,2014-2015,Master semestre 1,Génie électrique et électronique,25
815,Analog circuits design I,2014-2015,Master semestre 3,Micro- and Nanotechnologies for Integrated Systems,39
816,Analog circuits design I,2015-2016,Master semestre 1,Génie électrique et électronique,17
817,Analog circuits design I,2015-2016,Master semestre 1,Microtechnique,5
818,Analog circuits design I,2015-2016,Master semestre 3,Micro- and Nanotechnologies for Integrated Systems,41
819,Analog circuits design I,2016-2017,Master semestre 1,Génie électrique et électronique,19
820,Analog circuits design I,2016-2017,Master semestre 1,Microtechnique,2
821,Analog circuits design I,2016-2017,Master semestre 3,Micro- and Nanotechnologies for Integrated Systems,38
822,Analog circuits design I,2017-2018,Master semestre 1,Génie électrique et électronique,18
823,Analog circuits design I,2017-2018,Master semestre 1,Microtechnique,16
824,Analog circuits design I,2017-2018,Master semestre 3,Micro- and Nanotechnologies for Integrated Systems,45
825,Analog circuits design II,2005-2006,Master semestre 2,Génie électrique et électronique,13
826,Analog circuits design II,2005-2006,Master semestre 2,Microtechnique,1
827,Analog circuits design II,2006-2007,Master semestre 2,Génie électrique et électronique,6
828,Analog circuits design II,2006-2007,Master semestre 2,Microtechnique,6
829,Analog circuits design II,2007-2008,Master semestre 2,Génie électrique et électronique,13
830,Analog circuits design II,2007-2008,Master semestre 2,Microtechnique,4
831,Analog circuits design II,2008-2009,Master semestre 2,Génie électrique et électronique,26
832,Analog circuits design II,2009-2010,Master semestre 2,Génie électrique et électronique,17
833,Analog circuits design II,2010-2011,Master semestre 2,Génie électrique et électronique,17
834,Analog circuits design II,2010-2011,Master semestre 2,Microtechnique,1
835,Analog circuits design II,2011-2012,Master semestre 2,Génie électrique et électronique,19
836,Analog circuits design II,2012-2013,Master semestre 2,Génie électrique et électronique,18
837,Analog circuits design II,2012-2013,Master semestre 2,Microtechnique,1
838,Analog circuits design II,2013-2014,Master semestre 2,Génie électrique et électronique,11
839,Analog circuits design II,2013-2014,Master semestre 2,Microtechnique,1
840,Analog circuits design II,2014-2015,Master semestre 2,Génie électrique et électronique,21
841,Analog circuits design II,2015-2016,Master semestre 2,Génie électrique et électronique,17
842,Analog circuits design II,2015-2016,Master semestre 2,Microtechnique,1
843,Analog circuits design II,2016-2017,Master semestre 2,Génie électrique et électronique,17
844,Analog circuits design II,2017-2018,Master semestre 2,Génie électrique et électronique,17
845,Analog circuits design II,2017-2018,Master semestre 2,Microtechnique,1
846,Analog circuits for biochip,2014-2015,Master semestre 2,Génie électrique et électronique,14
847,Analog circuits for biochip,2015-2016,Master semestre 2,Génie électrique et électronique,4
848,Analog circuits for biochip,2016-2017,Master semestre 2,Bioingénierie,2
849,Analog circuits for biochip,2016-2017,Master semestre 2,Génie électrique et électronique,11
850,Analog circuits for biochip,2016-2017,Master semestre 2,Sciences et technologies du vivant - master,1
851,Analog circuits for biochip,2017-2018,Master semestre 2,Génie électrique et électronique,3
852,Analog circuits for biochip,2017-2018,Master semestre 2,Sciences et technologies du vivant - master,1
853,Analog circuits for biochip,2018-2019,Master semestre 2,Bioingénierie,1
854,Analog circuits for biochip,2018-2019,Master semestre 2,Génie électrique et électronique,8
855,Analog circuits for biochip,2018-2019,Master semestre 2,Ingénierie des sciences du vivant,14
856,Analog circuits for biochip,2019-2020,Master semestre 2,Génie électrique et électronique,11
857,Analog circuits for biochip,2019-2020,Master semestre 2,Ingénierie des sciences du vivant,14
858,Analyse avancée,2010-2011,Master semestre 2,Ingénierie mathématique,1
859,Analyse d'images du territoire I,2004-2005,Master semestre 1,Sciences et ingénierie de l'environnement,12
860,Analyse d'images du territoire I,2005-2006,Master semestre 1,Sciences et ingénierie de l'environnement,15
861,Analyse d'images du territoire I,2006-2007,Master semestre 1,Sciences et ingénierie de l'environnement,15
862,Analyse d'images du territoire II,2004-2005,Master semestre 2,Sciences et ingénierie de l'environnement,9
863,Analyse d'images du territoire II,2005-2006,Master semestre 2,Sciences et ingénierie de l'environnement,15
864,Analyse d'images du territoire II,2006-2007,Master semestre 2,Sciences et ingénierie de l'environnement,11
865,Analyse de données génétiques,2005-2006,Master semestre 1,Mathématiques,27
866,Analyse de données génétiques,2005-2006,Master semestre 1,Systèmes de communication - master Eurecom,8
867,Analyse de données génétiques,2007-2008,Master semestre 1,Informatique,4
868,Analyse de données génétiques,2007-2008,Master semestre 1,Mathématiques,16
869,Analyse de la structure des polymères,2004-2005,Master semestre 1,Science et génie des matériaux,5
870,Analyse de la structure des polymères,2005-2006,Master semestre 1,Science et génie des matériaux,13
871,Analyse de la structure des polymères,2007-2008,Master semestre 1,Science et génie des matériaux,5
872,Analyse de produits et systèmes,2004-2005,Master semestre 2,Microtechnique,23
873,Analyse de produits et systèmes,2005-2006,Master semestre 2,Microtechnique,9
874,Analyse de produits et systèmes,2006-2007,Master semestre 2,Microtechnique,18
875,Analyse de produits et systèmes,2007-2008,Master semestre 2,Microtechnique,11
876,Analyse de produits et systèmes,2008-2009,Master semestre 2,Microtechnique,7
877,Analyse de produits et systèmes,2009-2010,Master semestre 2,Microtechnique,16
878,Analyse de produits et systèmes,2010-2011,Master semestre 2,Microtechnique,3
879,Analyse de produits et systèmes,2011-2012,Master semestre 2,Microtechnique,3
880,Analyse de produits et systèmes,2013-2014,Master semestre 2,Microtechnique,4
881,Analyse de produits et systèmes,2014-2015,Master semestre 2,Microtechnique,8
882,Analyse de produits et systèmes,2015-2016,Master semestre 2,Microtechnique,6
883,Analyse de produits et systèmes,2016-2017,Master semestre 2,Microtechnique,3
884,Analyse de produits et systèmes,2017-2018,Master semestre 2,Microtechnique,13
885,Analyse de produits et systèmes,2018-2019,Master semestre 2,Microtechnique,10
886,Analyse de produits et systèmes,2019-2020,Master semestre 2,Microtechnique,4
887,Analyse de produits et systèmes,2019-2020,Master semestre 2,Robotique,2
888,Analyse de risques,2009-2010,Master semestre 1,Génie civil,54
889,Analyse de risques,2010-2011,Master semestre 1,Génie civil,61
890,Analyse de risques,2011-2012,Master semestre 1,Génie civil,55
891,Analyse de risques,2012-2013,Master semestre 1,Génie civil,90
892,Analyse de risques,2013-2014,Master semestre 1,Génie civil,86
893,Analyse des flux de matière,2007-2008,Master semestre 1,Sciences et ingénierie de l'environnement,16
894,Analyse des flux de matière,2008-2009,Master semestre 1,Sciences et ingénierie de l'environnement,12
895,Analyse des flux de matière,2009-2010,Master semestre 1,Sciences et ingénierie de l'environnement,20
896,Analyse des flux de matière,2010-2011,Master semestre 1,Sciences et ingénierie de l'environnement,23
897,Analyse des flux de matière,2011-2012,Master semestre 1,Sciences et ingénierie de l'environnement,29
898,Analyse des flux de matière,2013-2014,Master semestre 1,Sciences et ingénierie de l'environnement,21
899,Analyse des flux de matière,2014-2015,Master semestre 1,Sciences et ingénierie de l'environnement,5
900,Analyse des flux de matière,2015-2016,Master semestre 1,Sciences et ingénierie de l'environnement,5
901,Analyse et gestion de risques,2015-2016,Master semestre 1,Génie civil,73
902,Analyse et gestion de risques,2016-2017,Master semestre 1,Génie civil,53
903,Analyse et gestion de risques,2017-2018,Master semestre 1,Génie civil,54
904,Analyse et gestion de risques,2018-2019,Master semestre 1,Génie civil,33
905,Analyse et gestion de risques,2018-2019,Semestre automne,Mineur STAS Russie,1
906,Analyse et gestion de risques,2019-2020,Master semestre 1,Génie civil,15
907,Analyse et management des risques industriels,2010-2011,Master semestre 2,Sciences et ingénierie de l'environnement,12
908,Analyse et management des risques industriels,2011-2012,Master semestre 2,Génie civil,23
909,Analyse et management des risques industriels,2011-2012,Master semestre 2,Sciences et ingénierie de l'environnement,29
910,Analyse et management des risques industriels,2012-2013,Master semestre 2,Gestion de l'énergie et durabilité,2
911,Analyse et management des risques industriels,2012-2013,Master semestre 2,Génie civil,14
912,Analyse et management des risques industriels,2012-2013,Master semestre 2,Sciences et ingénierie de l'environnement,19
913,Analyse et management des risques industriels,2013-2014,Master semestre 4,Génie civil,19
914,Analyse et management des risques industriels,2013-2014,Master semestre 4,Sciences et ingénierie de l'environnement,15
915,Analyse et management des risques industriels,2014-2015,Master semestre 2,Génie civil,10
916,Analyse et management des risques industriels,2014-2015,Master semestre 2,Sciences et ingénierie de l'environnement,27
917,Analyse et management des risques industriels,2015-2016,Master semestre 2,Génie civil,21
918,Analyse et management des risques industriels,2015-2016,Master semestre 2,Sciences et ingénierie de l'environnement,5
919,Analyse et management des risques industriels,2016-2017,Master semestre 2,Gestion de l'énergie et durabilité,4
920,Analyse et management des risques industriels,2016-2017,Master semestre 2,Génie civil,27
921,Analyse et management des risques industriels,2016-2017,Master semestre 2,Sciences et ingénierie de l'environnement,8
922,Analyse et management des risques industriels,2017-2018,Master semestre 2,Gestion de l'énergie et durabilité,2
923,Analyse et management des risques industriels,2017-2018,Master semestre 2,Génie civil,24
924,Analyse et management des risques industriels,2017-2018,Master semestre 2,Sciences et ingénierie de l'environnement,11
925,Analyse et management des risques industriels,2018-2019,Master semestre 2,Génie civil,9
926,Analyse et management des risques industriels,2018-2019,Master semestre 2,Sciences et ingénierie de l'environnement,7
927,Analyse et management des risques industriels,2019-2020,Master semestre 2,Gestion de l'énergie et durabilité,2
928,Analyse et management des risques industriels,2019-2020,Master semestre 2,Génie civil,12
929,Analyse et management des risques industriels,2019-2020,Master semestre 2,Sciences et ingénierie de l'environnement,8
930,Analyse et modélisation du risque,2004-2005,Master semestre 2,Sciences et ingénierie de l'environnement,26
931,Analyse exploratoire de données géospatiales,2014-2015,Master semestre 1,Sciences et ingénierie de l'environnement,12
932,Analyse exploratoire de données géospatiales,2015-2016,Master semestre 1,Sciences et ingénierie de l'environnement,24
933,Analyse exploratoire de données géospatiales,2016-2017,Master semestre 1,Sciences et ingénierie de l'environnement,12
934,Analyse fonctionnelle II,2011-2012,Master semestre 2,Mathématiques - master,3
935,Analyse fonctionnelle II,2012-2013,Master semestre 2,Ingénierie mathématique,2
936,Analyse fonctionnelle II,2012-2013,Master semestre 2,Mathématiques - master,1
937,Analyse fonctionnelle II,2013-2014,Master semestre 2,Mathématiques - master,2
938,Analyse fonctionnelle II,2013-2014,Master semestre 4,Ingénierie mathématique,1
939,Analyse fonctionnelle II,2014-2015,Master semestre 2,Ingénierie mathématique,1
940,Analyse fonctionnelle II,2014-2015,Master semestre 2,Mathématiques - master,1
941,Analyse fonctionnelle II,2015-2016,Master semestre 2,Ingénierie mathématique,1
942,Analyse fonctionnelle II,2015-2016,Master semestre 2,Mathématiques - master,2
943,Analyse fonctionnelle II,2016-2017,Master semestre 2,Mathématiques - master,1
944,Analyse fonctionnelle II,2017-2018,Master semestre 4,Mathématiques - master,1
945,Analyse fonctionnelle II,2018-2019,Master semestre 2,Ingénierie mathématique,1
946,Analyse fonctionnelle II,2018-2019,Master semestre 2,Mathématiques - master,3
947,Analyse non linéaire des structures,2005-2006,Master semestre 1,Génie civil,10
948,Analyse p-adique,2006-2007,Master semestre 2,Mathématiques,15
949,Analyse sectorielle,2009-2010,Master semestre 2,Management de la technologie,36
950,Analyse sectorielle,2009-2010,Semestre printemps,Mineurs,1
951,Analyse sur les groupes localement compacts I,2005-2006,Master semestre 1,Mathématiques,27
952,Analyse sur les groupes localement compacts II,2005-2006,Master semestre 2,Mathématiques,23
953,Analysis and mitigation of geohazards,2014-2015,Master semestre 1,Génie civil,17
954,Analysis and mitigation of geohazards,2014-2015,Master semestre 1,Sciences et ingénierie de l'environnement,6
955,Analysis and modelling of locomotion,2012-2013,Master semestre 2,Bioingénierie,7
956,Analysis and modelling of locomotion,2013-2014,Master semestre 4,Bioingénierie,4
957,Analysis and modelling of locomotion,2014-2015,Master semestre 2,Bioingénierie,5
958,Analysis and modelling of locomotion,2015-2016,Master semestre 2,Bioingénierie,18
959,Analysis and modelling of locomotion,2016-2017,Master semestre 2,Bioingénierie,11
960,Analysis and modelling of locomotion,2016-2017,edoc,Neurosciences,1
961,Analysis and modelling of locomotion,2017-2018,Master semestre 2,Bioingénierie,15
962,Analysis and modelling of locomotion,2017-2018,edoc,Neurosciences,1
963,Analysis and modelling of locomotion,2018-2019,Master semestre 2,Bioingénierie,1
964,Analysis and modelling of locomotion,2018-2019,Master semestre 2,Ingénierie des sciences du vivant,27
965,Analysis and modelling of locomotion,2019-2020,Master semestre 2,Ingénierie des sciences du vivant,19
966,Analysis and modelling of locomotion,2019-2020,Master semestre 2,Robotique,6
967,Analysis of ancient materials and their degradation,2015-2016,Master semestre 1,Chimie moléculaire et biologique,3
968,Analysis of ancient materials and their degradation,2016-2017,Master semestre 1,Chimie moléculaire et biologique,7
969,Analysis of ancient materials and their degradation,2017-2018,Master semestre 1,Chimie moléculaire et biologique,3
970,Analysis of ancient materials and their degradation,2019-2020,Master semestre 1,Chimie moléculaire et biologique,1
971,Analysis on groups,2009-2010,Master semestre 2,Mathématiques,13
972,Analysis on groups,2010-2011,Master semestre 2,Ingénierie mathématique,1
973,Analysis on groups,2011-2012,Master semestre 2,Ingénierie mathématique,1
974,Analysis on groups,2011-2012,Master semestre 2,Mathématiques - master,2
975,Analysis on groups,2012-2013,Master semestre 2,Ingénierie mathématique,1
976,Analysis on groups,2012-2013,Master semestre 2,Mathématiques - master,1
977,Analysis on groups,2013-2014,Master semestre 2,Mathématiques - master,3
978,Analysis on groups,2014-2015,Master semestre 2,Mathématiques - master,2
979,Analysis on groups,2015-2016,Master semestre 2,Mathématiques - master,4
980,Analysis on groups,2016-2017,Master semestre 2,Ingénierie mathématique,2
981,Analysis on groups,2016-2017,Master semestre 2,Mathématiques - master,1
982,Analysis on groups,2017-2018,Master semestre 4,Mathématiques - master,2
983,Analysis on groups,2018-2019,Master semestre 2,Ingénierie mathématique,1
984,Analysis on groups,2018-2019,Master semestre 2,Mathématiques - master,3
985,Analysis on groups,2018-2019,Master semestre 2,Mathématiques pour l'enseignement,1
986,Analysis on groups,2019-2020,Master semestre 1,Mathématiques - master,3
987,Analytic algorithms,2016-2017,Master semestre 1,Informatique,14
988,Analytic algorithms,2016-2017,Master semestre 1,Systèmes de communication - master,4
989,Analytic algorithms,2017-2018,Master semestre 2,Informatique,6
990,Analytic methods in algorithms and complexity,2015-2016,Master semestre 1,Informatique,12
991,Analytic methods in algorithms and complexity,2015-2016,Master semestre 1,Systèmes de communication - master,7
992,Analytical electron microscopy and laboratory work,2007-2008,Master semestre 2,Science et génie des matériaux,4
993,Analytical hydrology,2006-2007,Master semestre 1,Sciences et ingénierie de l'environnement,24
994,Animal experimentation,2011-2012,Master semestre 1,Bioingénierie,3
995,Animal experimentation,2011-2012,Master semestre 1,Sciences et technologies du vivant - master,2
996,Animal experimentation,2012-2013,Master semestre 1,Bioingénierie,1
997,Animal experimentation,2012-2013,Master semestre 1,Sciences et technologies du vivant - master,7
998,Annulé - Stage section de Physique,2004-2005,Master semestre 1,Physique,54
999,Annulé - Stage section de Physique  (été) ,2004-2005,Master semestre 2,Physique,12
1000,Annulé - Stage section des Sciences et ingénierie de l'environnement (hiver),2004-2005,Master semestre 1,Sciences et ingénierie de l'environnement,11
1001,Annulé - Stage section des Sciences et ingénierie de l'environnement (été),2004-2005,Master semestre 2,Sciences et ingénierie de l'environnement,2
1002,Apparent realities - Constructing the view,2018-2019,Master semestre 1,Architecture,41
1003,Apparent realities - Constructing the view,2018-2019,Master semestre 2,Architecture,59
1004,Apparent realities - Constructing the view,2019-2020,Master semestre 1,Architecture,43
1005,Apparent realities - Constructing the view,2019-2020,Master semestre 2,Architecture,50
1006,Applications en supraconductivité,2009-2010,Master semestre 1,Génie électrique et électronique,12
1007,Applications en supraconductivité,2010-2011,Master semestre 1,Génie électrique et électronique,9
1008,Applications en supraconductivité,2011-2012,Master semestre 1,Génie électrique et électronique,4
1009,Applications for convex optimization and linear programming,2008-2009,Master semestre 1,Informatique,5
1010,Applications for convex optimization and linear programming,2008-2009,Master semestre 3,Systèmes de communication - master,9
1011,Applications for convex optimization and linear programming,2011-2012,Master semestre 2,Informatique,19
1012,Applications for convex optimization and linear programming,2011-2012,Master semestre 2,Science et ingénierie computationnelles,4
1013,Applications for convex optimization and linear programming,2011-2012,Master semestre 4,Systèmes de communication - master,13
1014,Applied biostatistics,2017-2018,Master semestre 2,Bioingénierie,4
1015,Applied biostatistics,2017-2018,Master semestre 2,Data Science,2
1016,Applied biostatistics,2017-2018,Master semestre 2,Informatique,12
1017,Applied biostatistics,2017-2018,Master semestre 2,Ingénierie mathématique,4
1018,Applied biostatistics,2017-2018,Master semestre 2,Mathématiques pour l'enseignement,1
1019,Applied biostatistics,2017-2018,Master semestre 2,Sciences et technologies du vivant - master,4
1020,Applied biostatistics,2017-2018,Master semestre 2,Systèmes de communication - master,1
1021,Applied biostatistics,2017-2018,Master semestre 4,Mathématiques - master,1
1022,Applied biostatistics,2018-2019,Master semestre 2,Bioingénierie,4
1023,Applied biostatistics,2018-2019,Master semestre 2,Data Science,5
1024,Applied biostatistics,2018-2019,Master semestre 2,Informatique,9
1025,Applied biostatistics,2018-2019,Master semestre 2,Ingénierie des sciences du vivant,82
1026,Applied biostatistics,2018-2019,Master semestre 2,Ingénierie mathématique,1
1027,Applied biostatistics,2018-2019,Master semestre 2,Mathématiques - master,1
1028,Applied biostatistics,2018-2019,Master semestre 2,Sciences et technologies du vivant - master,1
1029,Applied biostatistics,2018-2019,Master semestre 2,Systèmes de communication - master,1
1030,Applied biostatistics,2019-2020,Master semestre 2,Bioingénierie,2
1031,Applied biostatistics,2019-2020,Master semestre 2,Data Science,16
1032,Applied biostatistics,2019-2020,Master semestre 2,Informatique,19
1033,Applied biostatistics,2019-2020,Master semestre 2,Ingénierie des sciences du vivant,91
1034,Applied biostatistics,2019-2020,Master semestre 2,Ingénierie mathématique,2
1035,Applied biostatistics,2019-2020,Master semestre 2,Mathématiques - master,2
1036,Applied biostatistics,2019-2020,Master semestre 2,Sciences et technologies du vivant - master,1
1037,Applied biostatistics,2019-2020,Semestre printemps,Mineur en Data science,1
1038,Applied corporate & industry analysis,2015-2016,Master semestre 2,"Management, technologie et entrepreneuriat",12
1039,Applied corporate & industry analysis,2016-2017,Master semestre 2,"Management, technologie et entrepreneuriat",22
1040,Applied corporate & industry analysis,2017-2018,Master semestre 2,"Management, technologie et entrepreneuriat",18
1041,Applied corporate & industry analysis,2018-2019,Master semestre 2,"Management, technologie et entrepreneuriat",19
1042,Applied corporate & industry analysis,2019-2020,Master semestre 2,"Management, technologie et entrepreneuriat",12
1043,Applied data analysis,2016-2017,Master semestre 1,Informatique,108
1044,Applied data analysis,2016-2017,Master semestre 1,Systèmes de communication - master,17
1045,Applied data analysis,2017-2018,Master semestre 1,Bioingénierie,8
1046,Applied data analysis,2017-2018,Master semestre 1,Data Science,17
1047,Applied data analysis,2017-2018,Master semestre 1,Génie électrique et électronique,17
1048,Applied data analysis,2017-2018,Master semestre 1,Informatique,130
1049,Applied data analysis,2017-2018,Master semestre 1,"Management, technologie et entrepreneuriat",4
1050,Applied data analysis,2017-2018,Master semestre 1,Science et ingénierie computationnelles,2
1051,Applied data analysis,2017-2018,Master semestre 1,Sciences et technologies du vivant - master,1
1052,Applied data analysis,2017-2018,Master semestre 1,Systèmes de communication - master,15
1053,Applied data analysis,2018-2019,Master semestre 1,Bioingénierie,4
1054,Applied data analysis,2018-2019,Master semestre 1,Data Science,23
1055,Applied data analysis,2018-2019,Master semestre 1,Génie électrique et électronique,11
1056,Applied data analysis,2018-2019,Master semestre 1,Humanités digitales,13
1057,Applied data analysis,2018-2019,Master semestre 1,Informatique,88
1058,Applied data analysis,2018-2019,Master semestre 1,Ingénierie des sciences du vivant,29
1059,Applied data analysis,2018-2019,Master semestre 1,Ingénierie financière,1
1060,Applied data analysis,2018-2019,Master semestre 1,"Management, technologie et entrepreneuriat",2
1061,Applied data analysis,2018-2019,Master semestre 1,Science et ingénierie computationnelles,2
1062,Applied data analysis,2018-2019,Master semestre 1,Systèmes de communication - master,11
1063,Applied data analysis,2018-2019,Semestre automne,Internet of Things minor,3
1064,Applied data analysis,2019-2020,Master semestre 1,Data Science,32
1065,Applied data analysis,2019-2020,Master semestre 1,Energy Science and Technology,8
1066,Applied data analysis,2019-2020,Master semestre 1,Génie électrique et électronique,11
1067,Applied data analysis,2019-2020,Master semestre 1,Humanités digitales,2
1068,Applied data analysis,2019-2020,Master semestre 1,Informatique,89
1069,Applied data analysis,2019-2020,Master semestre 1,Ingénierie des sciences du vivant,53
1070,Applied data analysis,2019-2020,Master semestre 1,Ingénierie financière,3
1071,Applied data analysis,2019-2020,Master semestre 1,"Management, technologie et entrepreneuriat",2
1072,Applied data analysis,2019-2020,Master semestre 1,Science et ingénierie computationnelles,6
1073,Applied data analysis,2019-2020,Master semestre 1,Systèmes de communication - master,4
1074,Applied data analysis,2019-2020,Semestre automne,Mineur en Data science,1
1075,Applied data analysis,2019-2020,Semestre automne,UNIL - Sciences forensiques,7
1076,Applied machine learning,2006-2007,Master semestre 1,Génie électrique et électronique,2
1077,Applied machine learning,2006-2007,Master semestre 1,Microtechnique,14
1078,Applied machine learning,2007-2008,Master semestre 1,Génie électrique et électronique,3
1079,Applied machine learning,2007-2008,Master semestre 1,Microtechnique,17
1080,Applied machine learning,2008-2009,Master semestre 1,Génie électrique et électronique,8
1081,Applied machine learning,2008-2009,Master semestre 1,Microtechnique,13
1082,Applied machine learning,2009-2010,Master semestre 1,Génie électrique et électronique,3
1083,Applied machine learning,2009-2010,Master semestre 1,Microtechnique,13
1084,Applied machine learning,2010-2011,Master semestre 1,Génie mécanique,5
1085,Applied machine learning,2010-2011,Master semestre 1,Génie électrique et électronique,4
1086,Applied machine learning,2010-2011,Master semestre 1,Microtechnique,9
1087,Applied machine learning,2011-2012,Master semestre 1,Génie mécanique,2
1088,Applied machine learning,2011-2012,Master semestre 1,Génie électrique et électronique,4
1089,Applied machine learning,2011-2012,Master semestre 1,Microtechnique,29
1090,Applied machine learning,2012-2013,Master semestre 1,Génie électrique et électronique,3
1091,Applied machine learning,2012-2013,Master semestre 1,Microtechnique,35
1092,Applied machine learning,2013-2014,Master semestre 1,Génie électrique et électronique,12
1093,Applied machine learning,2013-2014,Master semestre 1,Microtechnique,38
1094,Applied machine learning,2014-2015,Master semestre 1,Génie électrique et électronique,17
1095,Applied machine learning,2014-2015,Master semestre 1,Microtechnique,44
1096,Applied machine learning,2015-2016,Master semestre 1,Génie électrique et électronique,7
1097,Applied machine learning,2015-2016,Master semestre 1,Microtechnique,50
1098,Applied machine learning,2016-2017,Master semestre 1,Génie électrique et électronique,22
1099,Applied machine learning,2016-2017,Master semestre 1,Microtechnique,66
1100,Applied machine learning,2017-2018,Master semestre 1,Génie électrique et électronique,9
1101,Applied machine learning,2017-2018,Master semestre 1,Microtechnique,95
1102,Applied machine learning,2018-2019,Master semestre 1,Génie électrique et électronique,7
1103,Applied machine learning,2018-2019,Master semestre 1,Ingénierie financière,9
1104,Applied machine learning,2018-2019,Master semestre 1,Microtechnique,43
1105,Applied machine learning,2018-2019,Master semestre 1,Robotique,17
1106,Applied machine learning,2019-2020,Master semestre 1,Energy Science and Technology,1
1107,Applied machine learning,2019-2020,Master semestre 1,Génie électrique et électronique,6
1108,Applied machine learning,2019-2020,Master semestre 1,Ingénierie financière,6
1109,Applied machine learning,2019-2020,Master semestre 1,Microtechnique,24
1110,Applied machine learning,2019-2020,Master semestre 1,Robotique,14
1111,Applied mechanical design,2016-2017,Master semestre 1,Génie mécanique,29
1112,Applied mechanical design,2017-2018,Master semestre 1,Génie mécanique,27
1113,Applied mechanical design,2018-2019,Master semestre 1,Génie mécanique,33
1114,Applied mechanical design,2019-2020,Master semestre 1,Génie mécanique,24
1115,Applied molecular quantum chemistry,2004-2005,Master semestre 1,Chimie moléculaire et biologique,6
1116,Applied molecular quantum chemistry,2005-2006,Master semestre 1,Chimie moléculaire et biologique,4
1117,Applied molecular quantum chemistry,2006-2007,Master semestre 1,Chimie moléculaire et biologique,1
1118,Applied molecular quantum chemistry,2007-2008,Master semestre 1,Chimie moléculaire et biologique,1
1119,Applied molecular quantum chemistry,2008-2009,Master semestre 1,Chimie moléculaire et biologique,4
1120,Applied molecular quantum chemistry,2009-2010,Master semestre 1,Chimie moléculaire et biologique,3
1121,Applied molecular quantum chemistry,2010-2011,Master semestre 1,Chimie moléculaire et biologique,1
1122,Applied molecular quantum chemistry,2011-2012,Master semestre 1,Chimie moléculaire et biologique,1
1123,Applied molecular quantum chemistry,2011-2012,Master semestre 1,Science et ingénierie computationnelles,1
1124,Applied molecular quantum chemistry,2012-2013,Master semestre 1,Chimie moléculaire et biologique,4
1125,Applied molecular quantum chemistry,2012-2013,Master semestre 1,Science et ingénierie computationnelles,2
1126,Applied molecular quantum chemistry,2013-2014,Master semestre 1,Chimie moléculaire et biologique,3
1127,Applied molecular quantum chemistry,2014-2015,Master semestre 1,Chimie moléculaire et biologique,1
1128,Applied molecular quantum chemistry,2015-2016,Master semestre 1,Chimie moléculaire et biologique,7
1129,Applied molecular quantum chemistry,2016-2017,Master semestre 1,Chimie moléculaire et biologique,1
1130,Applied probability & stochastic processes,2010-2011,Master semestre 1,"Management, technologie et entrepreneuriat",6
1131,Applied probability & stochastic processes,2011-2012,Master semestre 1,"Management, technologie et entrepreneuriat",13
1132,Applied probability & stochastic processes,2012-2013,Master semestre 1,"Management, technologie et entrepreneuriat",18
1133,Applied probability & stochastic processes,2012-2013,Semestre automne,"Mineur en Management, technologie et entrepreneuriat",1
1134,Applied probability & stochastic processes,2013-2014,Master semestre 1,"Management, technologie et entrepreneuriat",22
1135,Applied probability & stochastic processes,2014-2015,Master semestre 1,"Management, technologie et entrepreneuriat",22
1136,Applied probability & stochastic processes,2014-2015,Semestre automne,"Mineur en Management, technologie et entrepreneuriat",4
1137,Applied probability & stochastic processes,2015-2016,Master semestre 1,"Management, technologie et entrepreneuriat",19
1138,Applied probability & stochastic processes,2015-2016,Semestre automne,"Mineur en Management, technologie et entrepreneuriat",1
1139,Applied probability & stochastic processes,2016-2017,Master semestre 1,"Management, technologie et entrepreneuriat",24
1140,Applied probability & stochastic processes,2017-2018,Master semestre 1,Bioingénierie,2
1141,Applied probability & stochastic processes,2017-2018,Master semestre 1,"Management, technologie et entrepreneuriat",18
1142,Applied probability & stochastic processes,2017-2018,Semestre automne,"Mineur en Management, technologie et entrepreneuriat",1
1143,Applied probability & stochastic processes,2018-2019,Master semestre 1,Ingénierie des sciences du vivant,9
1144,Applied probability & stochastic processes,2018-2019,Master semestre 1,"Management, technologie et entrepreneuriat",18
1145,Applied probability & stochastic processes,2019-2020,Master semestre 1,Ingénierie des sciences du vivant,35
1146,Applied probability & stochastic processes,2019-2020,Master semestre 1,"Management, technologie et entrepreneuriat",18
1147,Applied probability & stochastic processes,2019-2020,Semestre automne,"Mineur en Management, technologie et entrepreneuriat",1
1148,Applied stochastic processes,2008-2009,Master semestre 2,Ingénierie financière,2
1149,Applied stochastic processes,2008-2009,Master semestre 2,Mathématiques,16
1150,Applied stochastic processes,2009-2010,Master semestre 2,Mathématiques,10
1151,Applied stochastic processes,2010-2011,Master semestre 2,Ingénierie mathématique,8
1152,Applied wastewater engineering,2017-2018,Master semestre 1,Gestion de l'énergie et durabilité,1
1153,Applied wastewater engineering,2017-2018,Master semestre 1,Sciences et ingénierie de l'environnement,19
1154,Applied wastewater engineering,2019-2020,Master semestre 1,Gestion de l'énergie et durabilité,1
1155,Applied wastewater engineering,2019-2020,Master semestre 1,Sciences et ingénierie de l'environnement,29
1156,"Apprentissage, développement et enseignement",2017-2018,Master semestre 1,Mathématiques pour l'enseignement,1
1157,Approches socio-psychanalytiques de l'art,2015-2016,Master semestre 1,Architecture,26
1158,Approximation numérique des équations aux dérivées partielles,2007-2008,Master semestre 2,Mathématiques,8
